No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,103788.530,599,208775.060,213105.181,211555.128
2,Dayhoff+I,101597.513,600,204395.026,208765.935,207179.735
3,Dayhoff+G4,96094.811,600,193389.622,197760.531,196174.331
4,Dayhoff+I+G4,95834.737,601,192871.475,197283.694,195660.825
5,Dayhoff+F,104334.469,618,209904.938,215109.591,212773.188
6,Dayhoff+F+I,102208.181,619,205654.361,210911.621,208527.253
7,Dayhoff+F+G4,96406.333,619,194050.666,199307.926,196923.557
8,Dayhoff+F+I+G4,96167.819,620,193575.637,198886.258,196453.170
9,mtMAM,119955.203,599,241108.405,245438.526,243888.473
10,mtMAM+I,118532.265,600,238264.530,242635.439,241049.239
11,mtMAM+G4,104899.235,600,210998.471,215369.380,213783.180
12,mtMAM+I+G4,104751.855,601,210705.711,215117.930,213495.061
13,mtMAM+F,113269.718,618,227775.435,232980.089,230643.686
14,mtMAM+F+I,111555.025,619,224348.050,229605.310,227220.941
15,mtMAM+F+G4,100875.905,619,202989.811,208247.071,205862.703
16,mtMAM+F+I+G4,100738.504,620,202717.009,208027.630,205594.542
17,JTT,103998.420,599,209194.840,213524.961,211974.908
18,JTT+I,101898.622,600,204997.243,209368.152,207781.953
19,JTT+G4,95947.257,600,193094.514,197465.423,195879.223
20,JTT+I+G4,95737.532,601,192677.063,197089.283,195466.413
21,JTT+F,104297.037,618,209830.074,215034.727,212698.324
22,JTT+F+I,102219.621,619,205677.242,210934.502,208550.134
23,JTT+F+G4,96013.449,619,193264.898,198522.159,196137.790
24,JTT+F+I+G4,95824.043,620,192888.086,198198.706,195765.619
25,WAG,101516.589,599,204231.179,208561.299,207011.247
26,WAG+I,99572.965,600,200345.931,204716.840,203130.640
27,WAG+G4,94627.478,600,190454.956,194825.865,193239.666
28,WAG+I+G4,94418.996,601,190039.993,194452.212,192829.343
29,WAG+F,101727.006,618,204690.012,209894.666,207558.263
30,WAG+F+I,99821.719,619,200881.437,206138.697,203754.329
31,WAG+F+G4,94686.179,619,190610.357,195867.617,193483.249
32,WAG+F+I+G4,94481.688,620,190203.375,195513.996,193080.908
33,cpREV,102588.510,599,206375.021,210705.141,209155.089
34,cpREV+I,100811.115,600,202822.229,207193.138,205606.939
35,cpREV+G4,95824.017,600,192848.034,197218.943,195632.743
36,cpREV+I+G4,95606.383,601,192414.766,196826.986,195204.117
37,cpREV+F,102300.234,618,205836.469,211041.122,208704.719
38,cpREV+F+I,100370.948,619,201979.896,207237.157,204852.788
39,cpREV+F+G4,95433.952,619,192105.903,197363.164,194978.795
40,cpREV+F+I+G4,95196.456,620,191632.912,196943.532,194510.444
41,mtREV,112022.983,599,225243.965,229574.086,228024.033
42,mtREV+I,110494.234,600,222188.468,226559.377,224973.178
43,mtREV+G4,101774.111,600,204748.223,209119.132,207532.932
44,mtREV+I+G4,101623.698,601,204449.395,208861.615,207238.746
45,mtREV+F,106308.741,618,213853.481,219058.134,216721.732
46,mtREV+F+I,104504.669,619,210247.338,215504.598,213120.229
47,mtREV+F+G4,97494.313,619,196226.626,201483.886,199099.518
48,mtREV+F+I+G4,97337.165,620,195914.330,201224.951,198791.863
49,rtREV,103159.646,599,207517.292,211847.412,210297.360
50,rtREV+I,101371.647,600,203943.294,208314.203,206728.004
51,rtREV+G4,95334.936,600,191869.872,196240.781,194654.581
52,rtREV+I+G4,95183.419,601,191568.838,195981.057,194358.188
53,rtREV+F,102632.483,618,206500.965,211705.618,209369.216
54,rtREV+F+I,100823.140,619,202884.281,208141.541,205757.172
55,rtREV+F+G4,94528.716,619,190295.432,195552.692,193168.324
56,rtREV+F+I+G4,94360.007,620,189960.013,195270.634,192837.546
57,mtART,116060.842,599,233319.684,237649.805,236099.753
58,mtART+I,114633.919,600,230467.839,234838.748,233252.548
59,mtART+G4,102285.646,600,205771.291,210142.200,208556.000
60,mtART+I+G4,102193.033,601,205588.065,210000.285,208377.416
61,mtART+F,109742.867,618,220721.733,225926.386,223589.984
62,mtART+F+I,108028.230,619,217294.460,222551.720,220167.351
63,mtART+F+G4,98357.943,619,197953.887,203211.147,200826.779
64,mtART+F+I+G4,98205.806,620,197651.611,202962.232,200529.144
65,mtZOA,111858.165,599,224914.330,229244.450,227694.398
66,mtZOA+I,110360.844,600,221921.688,226292.597,224706.397
67,mtZOA+G4,99548.146,600,200296.292,204667.201,203081.002
68,mtZOA+I+G4,99438.336,601,200078.672,204490.892,202868.023
69,mtZOA+F,107070.263,618,215376.527,220581.180,218244.778
70,mtZOA+F+I,105264.087,619,211766.173,217023.434,214639.065
