No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,7231.444,51,14564.887,14614.457,14721.401
2,Dayhoff+I,7231.386,52,14566.771,14618.771,14726.354
3,Dayhoff+G4,7105.106,52,14314.213,14366.213,14473.796
4,Dayhoff+I+G4,7105.110,53,14316.220,14370.735,14478.872
5,Dayhoff+F,7163.074,70,14466.149,14579.103,14680.972
6,Dayhoff+F+I,7163.055,71,14468.110,14585.627,14686.002
7,Dayhoff+F+G4,7037.101,71,14216.203,14333.720,14434.095
8,Dayhoff+F+I+G4,7037.098,72,14218.196,14340.428,14439.157
9,mtMAM,7903.939,51,15909.877,15959.447,16066.391
10,mtMAM+I,7903.937,52,15911.873,15963.873,16071.456
11,mtMAM+G4,7545.486,52,15194.972,15246.972,15354.555
12,mtMAM+I+G4,7545.476,53,15196.952,15251.466,15359.604
13,mtMAM+F,7502.915,70,15145.831,15258.785,15360.654
14,mtMAM+F+I,7502.911,71,15147.823,15265.340,15365.715
15,mtMAM+F+G4,7235.433,71,14612.866,14730.383,14830.758
16,mtMAM+F+I+G4,7235.388,72,14614.775,14737.008,14835.736
17,JTT,7196.108,51,14494.215,14543.785,14650.729
18,JTT+I,7196.077,52,14496.154,14548.154,14655.737
19,JTT+G4,7057.258,52,14218.515,14270.515,14378.098
20,JTT+I+G4,7057.264,53,14220.527,14275.042,14383.179
21,JTT+F,7171.737,70,14483.473,14596.428,14698.297
22,JTT+F+I,7171.729,71,14485.458,14602.975,14703.350
23,JTT+F+G4,7032.828,71,14207.657,14325.174,14425.549
24,JTT+F+I+G4,7032.824,72,14209.647,14331.880,14430.608
25,WAG,7112.628,51,14327.256,14376.826,14483.770
26,WAG+I,7112.627,52,14329.254,14381.254,14488.838
27,WAG+G4,7011.665,52,14127.330,14179.330,14286.913
28,WAG+I+G4,7011.668,53,14129.336,14183.851,14291.988
29,WAG+F,7082.851,70,14305.702,14418.656,14520.525
30,WAG+F+I,7082.845,71,14307.690,14425.207,14525.582
31,WAG+F+G4,6980.109,71,14102.218,14219.736,14320.111
32,WAG+F+I+G4,6980.106,72,14104.212,14226.444,14325.173
33,cpREV,7165.712,51,14433.424,14482.994,14589.938
34,cpREV+I,7165.697,52,14435.394,14487.394,14594.977
35,cpREV+G4,7039.503,52,14183.006,14235.006,14342.589
36,cpREV+I+G4,7039.510,53,14185.019,14239.534,14347.671
37,cpREV+F,7143.095,70,14426.189,14539.144,14641.013
38,cpREV+F+I,7143.091,71,14428.182,14545.699,14646.074
39,cpREV+F+G4,7014.411,71,14170.821,14288.339,14388.714
40,cpREV+F+I+G4,7014.410,72,14172.821,14295.053,14393.782
41,mtREV,7631.929,51,15365.858,15415.428,15522.372
42,mtREV+I,7631.901,52,15367.803,15419.803,15527.386
43,mtREV+G4,7414.630,52,14933.260,14985.260,15092.843
44,mtREV+I+G4,7414.629,53,14935.259,14989.773,15097.911
45,mtREV+F,7281.869,70,14703.738,14816.692,14918.561
46,mtREV+F+I,7281.860,71,14705.720,14823.237,14923.612
47,mtREV+F+G4,7109.865,71,14361.730,14479.248,14579.622
48,mtREV+F+I+G4,7109.863,72,14363.726,14485.959,14584.688
49,rtREV,7188.417,51,14478.833,14528.403,14635.347
50,rtREV+I,7188.394,52,14480.788,14532.788,14640.371
51,rtREV+G4,7039.290,52,14182.581,14234.581,14342.164
52,rtREV+I+G4,7039.306,53,14184.611,14239.126,14347.263
53,rtREV+F,7154.040,70,14448.081,14561.035,14662.904
54,rtREV+F+I,7154.037,71,14450.075,14567.592,14667.967
55,rtREV+F+G4,7003.028,71,14148.056,14265.573,14365.948
56,rtREV+F+I+G4,7003.027,72,14150.053,14272.286,14371.014
57,mtART,7851.100,51,15804.199,15853.770,15960.714
58,mtART+I,7851.053,52,15806.105,15858.105,15965.688
59,mtART+G4,7481.855,52,15067.709,15119.709,15227.292
60,mtART+I+G4,7481.853,53,15069.707,15124.221,15232.359
61,mtART+F,7449.692,70,15039.384,15152.339,15254.207
62,mtART+F+I,7449.690,71,15041.380,15158.897,15259.272
63,mtART+F+G4,7155.722,71,14453.444,14570.961,14671.336
64,mtART+F+I+G4,7155.692,72,14455.383,14577.616,14676.344
65,mtZOA,7653.954,51,15409.909,15459.479,15566.423
66,mtZOA+I,7653.898,52,15411.797,15463.797,15571.380
67,mtZOA+G4,7344.066,52,14792.132,14844.132,14951.715
68,mtZOA+I+G4,7344.068,53,14794.136,14848.650,14956.787
69,mtZOA+F,7331.492,70,14802.983,14915.938,15017.806
70,mtZOA+F+I,7331.476,71,14804.953,14922.470,15022.845
71,mtZOA+F+G4,7084.007,71,14310.014,14427.531,14527.906
72,mtZOA+F+I+G4,7083.980,72,14311.961,14434.193,14532.922
73,VT,7121.056,51,14344.112,14393.682,14500.626
74,VT+I,7121.029,52,14346.058,14398.058,14505.641
75,VT+G4,7016.532,52,14137.065,14189.065,14296.648
76,VT+I+G4,7016.535,53,14139.071,14193.585,14301.723
77,VT+F,7106.393,70,14352.787,14465.741,14567.610
78,VT+F+I,7106.393,71,14354.785,14472.302,14572.677
79,VT+F+G4,7002.661,71,14147.323,14264.840,14365.215
80,VT+F+I+G4,7002.660,72,14149.319,14271.552,14370.280
81,LG,7142.507,51,14387.015,14436.585,14543.529
82,LG+I,7142.500,52,14389.001,14441.001,14548.584
83,LG+G4,6987.291,52,14078.582,14130.582,14238.165
84,LG+I+G4,6987.290,53,14080.580,14135.094,14243.232
85,LG+F,7130.503,70,14401.006,14513.960,14615.829
86,LG+F+I,7130.499,71,14402.998,14520.515,14620.890
87,LG+F+G4,6976.030,71,14094.060,14211.577,14311.952
88,LG+F+I+G4,6976.026,72,14096.051,14218.284,14317.012
89,DCMut,7230.703,51,14563.406,14612.977,14719.921
90,DCMut+I,7230.702,52,14565.404,14617.404,14724.987
91,DCMut+G4,7104.945,52,14313.889,14365.889,14473.472
92,DCMut+I+G4,7104.945,53,14315.890,14370.405,14478.542
93,DCMut+F,7162.578,70,14465.156,14578.110,14679.979
94,DCMut+F+I,7162.559,71,14467.118,14584.635,14685.010
95,DCMut+F+G4,7037.032,71,14216.064,14333.581,14433.956
96,DCMut+F+I+G4,7037.029,72,14218.057,14340.290,14439.018
97,PMB,7133.132,51,14368.265,14417.835,14524.779
98,PMB+I,7133.127,52,14370.254,14422.254,14529.837
99,PMB+G4,7041.221,52,14186.442,14238.442,14346.025
100,PMB+I+G4,7041.221,53,14188.442,14242.957,14351.094
101,PMB+F,7102.404,70,14344.808,14457.762,14559.631
102,PMB+F+I,7102.400,71,14346.800,14464.317,14564.692
103,PMB+F+G4,7011.444,71,14164.887,14282.405,14382.780
104,PMB+F+I+G4,7011.440,72,14166.880,14289.112,14387.841
105,HIVb,7322.910,51,14747.820,14797.390,14904.334
106,HIVb+I,7322.899,52,14749.798,14801.798,14909.381
107,HIVb+G4,7147.317,52,14398.635,14450.635,14558.218
108,HIVb+I+G4,7147.315,53,14400.630,14455.144,14563.282
109,HIVb+F,7299.746,70,14739.492,14852.446,14954.315
110,HIVb+F+I,7299.694,71,14741.389,14858.906,14959.281
