No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,20292.216,69,40722.432,40731.615,41069.010
2,Dayhoff+I,19782.621,70,39705.241,39714.699,40056.842
3,Dayhoff+G4,19313.404,70,38766.807,38776.265,39118.408
4,Dayhoff+I+G4,19311.565,71,38765.130,38774.867,39121.753
5,Dayhoff+F,20253.770,88,40683.540,40698.704,41125.552
6,Dayhoff+F+I,19739.425,89,39656.849,39672.373,40103.885
7,Dayhoff+F+G4,19268.370,89,38714.740,38730.263,39161.775
8,Dayhoff+F+I+G4,19266.235,90,38712.471,38728.358,39164.529
9,mtMAM,22030.603,69,44199.207,44208.389,44545.785
10,mtMAM+I,21488.435,70,43116.869,43126.327,43468.470
11,mtMAM+G4,20286.036,70,40712.073,40721.530,41063.673
12,mtMAM+I+G4,20285.257,71,40712.514,40722.251,41069.137
13,mtMAM+F,20781.544,88,41739.088,41754.251,42181.100
14,mtMAM+F+I,20193.512,89,40565.024,40580.547,41012.059
15,mtMAM+F+G4,19447.202,89,39072.403,39087.926,39519.438
16,mtMAM+F+I+G4,19441.968,90,39063.936,39079.824,39515.994
17,JTT,19892.621,69,39923.242,39932.424,40269.819
18,JTT+I,19398.802,70,38937.604,38947.062,39289.205
19,JTT+G4,18957.764,70,38055.528,38064.986,38407.129
20,JTT+I+G4,18957.965,71,38057.930,38067.668,38414.554
21,JTT+F,19853.382,88,39882.764,39897.928,40324.777
22,JTT+F+I,19343.826,89,38865.651,38881.175,39312.687
23,JTT+F+G4,18925.063,89,38028.126,38043.649,38475.161
24,JTT+F+I+G4,18924.429,90,38028.857,38044.745,38480.916
25,WAG,20161.298,69,40460.595,40469.778,40807.173
26,WAG+I,19676.184,70,39492.368,39501.825,39843.968
27,WAG+G4,19238.376,70,38616.752,38626.209,38968.352
28,WAG+I+G4,19238.461,71,38618.922,38628.659,38975.546
29,WAG+F,20090.349,88,40356.698,40371.861,40798.710
30,WAG+F+I,19597.515,89,39373.030,39388.553,39820.065
31,WAG+F+G4,19168.329,89,38514.657,38530.181,38961.693
32,WAG+F+I+G4,19167.873,90,38515.745,38531.633,38967.803
33,cpREV,20367.937,69,40873.875,40883.057,41220.453
34,cpREV+I,19884.040,70,39908.081,39917.538,40259.681
35,cpREV+G4,19379.978,70,38899.956,38909.413,39251.556
36,cpREV+I+G4,19379.747,71,38901.495,38911.232,39258.118
37,cpREV+F,20206.046,88,40588.092,40603.255,41030.104
38,cpREV+F+I,19707.600,89,39593.200,39608.723,40040.235
39,cpREV+F+G4,19236.762,89,38651.524,38667.047,39098.559
40,cpREV+F+I+G4,19234.964,90,38649.927,38665.815,39101.985
41,mtREV,21272.220,69,42682.440,42691.623,43029.018
42,mtREV+I,20746.887,70,41633.775,41643.232,41985.375
43,mtREV+G4,20018.843,70,40177.686,40187.144,40529.287
44,mtREV+I+G4,20015.034,71,40172.068,40181.805,40528.691
45,mtREV+F,20254.677,88,40685.353,40700.517,41127.365
46,mtREV+F+I,19725.453,89,39628.907,39644.430,40075.942
47,mtREV+F+G4,19193.458,89,38564.917,38580.440,39011.952
48,mtREV+F+I+G4,19189.769,90,38559.538,38575.425,39011.596
49,rtREV,20529.969,69,41197.938,41207.120,41544.516
50,rtREV+I,20031.195,70,40202.389,40211.847,40553.990
51,rtREV+G4,19526.503,70,39193.006,39202.463,39544.606
52,rtREV+I+G4,19525.794,71,39193.588,39203.325,39550.211
53,rtREV+F,20336.273,88,40848.547,40863.710,41290.559
54,rtREV+F+I,19816.894,89,39811.787,39827.311,40258.823
55,rtREV+F+G4,19343.500,89,38865.001,38880.524,39312.036
56,rtREV+F+I+G4,19341.596,90,38863.192,38879.079,39315.250
57,mtART,22327.025,69,44792.049,44801.232,45138.627
58,mtART+I,21737.350,70,43614.700,43624.158,43966.301
59,mtART+G4,20563.871,70,41267.742,41277.199,41619.342
60,mtART+I+G4,20563.817,71,41269.634,41279.371,41626.258
61,mtART+F,21119.460,88,42414.920,42430.084,42856.932
62,mtART+F+I,20553.588,89,41285.176,41300.699,41732.211
63,mtART+F+G4,19739.048,89,39656.096,39671.619,40103.131
64,mtART+F+I+G4,19736.820,90,39653.639,39669.527,40105.697
65,mtZOA,21335.071,69,42808.142,42817.324,43154.720
66,mtZOA+I,20815.451,70,41770.902,41780.360,42122.503
67,mtZOA+G4,19898.644,70,39937.289,39946.746,40288.889
68,mtZOA+I+G4,19897.541,71,39937.082,39946.819,40293.706
69,mtZOA+F,20468.156,88,41112.312,41127.476,41554.325
70,mtZOA+F+I,19951.910,89,40081.819,40097.343,40528.855
71,mtZOA+F+G4,19328.794,89,38835.587,38851.111,39282.623
72,mtZOA+F+I+G4,19326.186,90,38832.372,38848.259,39284.430
73,VT,20177.288,69,40492.577,40501.759,40839.155
74,VT+I,19689.512,70,39519.025,39528.483,39870.626
75,VT+G4,19262.870,70,38665.739,38675.197,39017.340
76,VT+I+G4,19262.875,71,38667.751,38677.488,39024.374
77,VT+F,20091.548,88,40359.096,40374.260,40801.108
78,VT+F+I,19594.768,89,39367.536,39383.060,39814.572
79,VT+F+G4,19187.016,89,38552.031,38567.555,38999.067
80,VT+F+I+G4,19186.480,90,38552.960,38568.848,39005.018
81,LG,20273.107,69,40684.215,40693.397,41030.793
82,LG+I,19776.214,70,39692.428,39701.886,40044.029
83,LG+G4,19287.980,70,38715.960,38725.418,39067.561
84,LG+I+G4,19287.316,71,38716.632,38726.369,39073.256
85,LG+F,20099.351,88,40374.702,40389.866,40816.714
86,LG+F+I,19593.259,89,39364.519,39380.042,39811.554
87,LG+F+G4,19139.167,89,38456.335,38471.858,38903.370
88,LG+F+I+G4,19137.555,90,38455.110,38470.997,38907.168
89,DCMut,20294.258,69,40726.516,40735.698,41073.093
90,DCMut+I,19784.172,70,39708.344,39717.802,40059.945
91,DCMut+G4,19315.600,70,38771.199,38780.657,39122.800
92,DCMut+I+G4,19313.401,71,38768.802,38778.539,39125.426
93,DCMut+F,20255.313,88,40686.626,40701.789,41128.638
94,DCMut+F+I,19740.631,89,39659.262,39674.785,40106.297
95,DCMut+F+G4,19270.410,89,38718.819,38734.342,39165.854
96,DCMut+F+I+G4,19268.109,90,38716.219,38732.106,39168.277
97,PMB,20476.038,69,41090.075,41099.258,41436.653
98,PMB+I,19981.737,70,40103.474,40112.932,40455.075
99,PMB+G4,19528.452,70,39196.905,39206.363,39548.506
100,PMB+I+G4,19528.771,71,39199.542,39209.279,39556.165
101,PMB+F,20431.384,88,41038.768,41053.931,41480.780
102,PMB+F+I,19934.615,89,40047.231,40062.754,40494.266
103,PMB+F+G4,19503.687,89,39185.374,39200.897,39632.409
