No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,9982.807,37,20039.614,20042.406,20222.829
2,JC+I,9852.720,38,19781.440,19784.387,19969.608
3,JC+G4,9822.018,38,19720.036,19722.983,19908.204
4,JC+I+G4,9815.396,39,19708.793,19711.897,19901.912
5,F81+F,9981.895,40,20043.790,20047.057,20241.861
6,F81+F+I,9851.076,41,19784.151,19787.585,19987.174
7,F81+F+G4,9820.954,41,19723.909,19727.343,19926.932
8,F81+F+I+G4,9814.124,42,19712.247,19715.852,19920.221
9,K2P,9663.854,38,19403.708,19406.654,19591.875
10,K2P+I,9522.278,39,19122.557,19125.661,19315.676
11,K2P+G4,9479.553,39,19037.106,19040.211,19230.226
12,K2P+I+G4,9474.202,40,19028.405,19031.672,19226.476
13,HKY+F,9663.615,41,19409.231,19412.664,19612.253
14,HKY+F+I,9518.015,42,19120.030,19123.635,19328.004
15,HKY+F+G4,9475.965,42,19035.931,19039.536,19243.905
16,HKY+F+I+G4,9470.090,43,19026.181,19029.961,19239.107
17,TNe,9659.395,39,19396.791,19399.895,19589.910
18,TNe+I,9520.972,40,19121.945,19125.212,19320.016
19,TNe+G4,9478.381,40,19036.762,19040.029,19234.833
20,TNe+I+G4,9473.191,41,19028.382,19031.816,19231.405
21,TN+F,9655.126,42,19394.252,19397.857,19602.226
22,TN+F+I,9514.753,43,19115.506,19119.287,19328.433
23,TN+F+G4,9472.482,43,19030.963,19034.744,19243.890
24,TN+F+I+G4,9467.074,44,19022.148,19026.108,19240.026
25,K3P,9663.667,39,19405.334,19408.439,19598.453
26,K3P+I,9522.100,40,19124.199,19127.466,19322.270
27,K3P+G4,9479.138,40,19038.276,19041.543,19236.347
28,K3P+I+G4,9473.769,41,19029.539,19032.972,19232.561
29,K3Pu+F,9663.381,42,19410.762,19414.366,19618.736
30,K3Pu+F+I,9517.759,43,19121.518,19125.298,19334.444
31,K3Pu+F+G4,9475.432,43,19036.865,19040.645,19249.791
32,K3Pu+F+I+G4,9469.587,44,19027.173,19031.133,19245.051
33,TPM2+F,9662.425,42,19408.851,19412.455,19616.825
34,TPM2+F+I,9517.371,43,19120.742,19124.522,19333.668
35,TPM2+F+G4,9474.610,43,19035.219,19039.000,19248.146
36,TPM2+F+I+G4,9468.890,44,19025.779,19029.739,19243.657
37,TPM2u+F,9662.425,42,19408.850,19412.455,19616.824
38,TPM2u+F+I,9517.371,43,19120.742,19124.522,19333.668
39,TPM2u+F+G4,9474.610,43,19035.219,19039.000,19248.146
40,TPM2u+F+I+G4,9468.889,44,19025.779,19029.739,19243.657
41,TPM3+F,9656.541,42,19397.082,19400.687,19605.057
42,TPM3+F+I,9515.712,43,19117.425,19121.205,19330.351
43,TPM3+F+G4,9472.281,43,19030.562,19034.342,19243.488
44,TPM3+F+I+G4,9467.033,44,19022.065,19026.025,19239.943
45,TPM3u+F,9656.541,42,19397.082,19400.687,19605.056
46,TPM3u+F+I,9515.712,43,19117.425,19121.205,19330.351
47,TPM3u+F+G4,9472.280,43,19030.560,19034.341,19243.487
48,TPM3u+F+I+G4,9467.031,44,19022.062,19026.022,19239.940
49,TIMe,9659.207,40,19398.414,19401.681,19596.485
50,TIMe+I,9520.792,41,19123.583,19127.017,19326.606
51,TIMe+G4,9477.959,41,19037.919,19041.352,19240.941
52,TIMe+I+G4,9472.784,42,19029.567,19033.172,19237.542
53,TIM+F,9654.891,43,19395.783,19399.563,19608.709
54,TIM+F+I,9514.498,44,19116.996,19120.956,19334.874
55,TIM+F+G4,9471.937,44,19031.874,19035.834,19249.752
56,TIM+F+I+G4,9466.560,45,19023.121,19027.265,19245.950
57,TIM2e,9658.893,40,19397.787,19401.054,19595.858
58,TIM2e+I,9520.794,41,19123.587,19127.021,19326.610
59,TIM2e+G4,9477.914,41,19037.828,19041.262,19240.851
60,TIM2e+I+G4,9472.779,42,19029.559,19033.163,19237.533
61,TIM2+F,9653.929,43,19393.859,19397.639,19606.785
62,TIM2+F+I,9514.125,44,19116.249,19120.209,19334.127
63,TIM2+F+G4,9471.040,44,19030.080,19034.040,19247.958
64,TIM2+F+I+G4,9465.807,45,19021.614,19025.759,19244.444
65,TIM3e,9649.493,40,19378.986,19382.253,19577.057
66,TIM3e+I,9516.629,41,19115.257,19118.691,19318.280
67,TIM3e+G4,9471.465,41,19024.929,19028.363,19227.952
68,TIM3e+I+G4,9467.105,42,19018.211,19021.816,19226.185
69,TIM3+F,9648.156,43,19382.313,19386.093,19595.239
70,TIM3+F+I,9512.353,44,19112.707,19116.667,19330.585
71,TIM3+F+G4,9468.800,44,19025.599,19029.559,19243.477
72,TIM3+F+I+G4,9463.949,45,19017.899,19022.043,19240.729
73,TVMe,9653.237,41,19388.474,19391.908,19591.497
74,TVMe+I,9517.707,42,19119.414,19123.019,19327.388
75,TVMe+G4,9471.766,42,19027.532,19031.137,19235.506
76,TVMe+I+G4,9467.388,43,19020.777,19024.557,19233.703
77,TVM+F,9655.177,44,19398.354,19402.314,19616.232
78,TVM+F+I,9514.897,45,19119.793,19123.938,19342.623
79,TVM+F+G4,9470.574,45,19031.147,19035.291,19253.977
80,TVM+F+I+G4,9465.499,46,19022.998,19027.331,19250.780
81,SYM,9648.830,42,19381.660,19385.265,19589.635
82,SYM+I,9516.303,43,19118.607,19122.387,19331.533
83,SYM+G4,9470.671,43,19027.341,19031.122,19240.268
84,SYM+I+G4,9466.395,44,19020.791,19024.751,19238.669
85,GTR+F,9646.783,45,19383.566,19387.710,19606.396
86,GTR+F+I,9511.551,46,19115.102,19119.435,19342.883
87,GTR+F+G4,9467.000,46,19026.001,19030.333,19253.782
88,GTR+F+I+G4,9462.347,47,19018.695,19023.220,19251.428
