No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,9486.865,99,19171.731,19209.019,19612.014
2,Dayhoff+I,9416.346,100,19032.691,19070.804,19477.422
3,Dayhoff+G4,9339.281,100,18878.563,18916.676,19323.293
4,Dayhoff+I+G4,9339.461,101,18880.922,18919.871,19330.100
5,Dayhoff+F,9425.980,118,19087.959,19142.811,19612.741
6,Dayhoff+F+I,9356.131,119,18950.262,19006.152,19479.491
7,Dayhoff+F+G4,9271.107,119,18780.214,18836.104,19309.443
8,Dayhoff+F+I+G4,9271.548,120,18783.096,18840.037,19316.773
9,mtMAM,10038.726,99,20275.452,20312.740,20715.735
10,mtMAM+I,9912.089,100,20024.177,20062.290,20468.908
11,mtMAM+G4,9681.109,100,19562.218,19600.332,20006.949
12,mtMAM+I+G4,9680.241,101,19562.483,19601.432,20011.661
13,mtMAM+F,9664.742,118,19565.483,19620.335,20090.265
14,mtMAM+F+I,9563.115,119,19364.230,19420.121,19893.460
15,mtMAM+F+G4,9395.343,119,19028.686,19084.576,19557.915
16,mtMAM+F+I+G4,9394.946,120,19029.892,19086.833,19563.569
17,JTT,9345.884,99,18889.768,18927.057,19330.052
18,JTT+I,9273.066,100,18746.133,18784.246,19190.864
19,JTT+G4,9198.272,100,18596.544,18634.657,19041.275
20,JTT+I+G4,9198.300,101,18598.601,18637.550,19047.779
21,JTT+F,9292.857,118,18821.714,18876.566,19346.497
22,JTT+F+I,9222.858,119,18683.716,18739.606,19212.945
23,JTT+F+G4,9142.095,119,18522.190,18578.081,19051.420
24,JTT+F+I+G4,9142.296,120,18524.592,18581.533,19058.269
25,WAG,9532.456,99,19262.912,19300.200,19703.195
26,WAG+I,9462.064,100,19124.128,19162.241,19568.858
27,WAG+G4,9381.772,100,18963.544,19001.657,19408.274
28,WAG+I+G4,9382.078,101,18966.155,19005.104,19415.333
29,WAG+F,9481.002,118,19198.004,19252.855,19722.786
30,WAG+F+I,9411.012,119,19060.024,19115.914,19589.253
31,WAG+F+G4,9325.290,119,18888.580,18944.470,19417.809
32,WAG+F+I+G4,9325.723,120,18891.447,18948.388,19425.124
33,cpREV,9692.368,99,19582.736,19620.024,20023.019
34,cpREV+I,9605.436,100,19410.872,19448.986,19855.603
35,cpREV+G4,9506.034,100,19212.069,19250.182,19656.799
36,cpREV+I+G4,9506.150,101,19214.300,19253.249,19663.478
37,cpREV+F,9580.660,118,19397.319,19452.171,19922.101
38,cpREV+F+I,9497.369,119,19232.737,19288.627,19761.966
39,cpREV+F+G4,9392.836,119,19023.671,19079.562,19552.901
40,cpREV+F+I+G4,9393.050,120,19026.099,19083.040,19559.776
41,mtREV,9805.764,99,19809.528,19846.816,20249.811
42,mtREV+I,9715.582,100,19631.164,19669.277,20075.894
43,mtREV+G4,9584.393,100,19368.785,19406.899,19813.516
44,mtREV+I+G4,9584.364,101,19370.728,19409.677,19819.906
45,mtREV+F,9512.326,118,19260.653,19315.504,19785.435
46,mtREV+F+I,9429.457,119,19096.915,19152.805,19626.144
47,mtREV+F+G4,9317.565,119,18873.130,18929.021,19402.360
48,mtREV+F+I+G4,9317.514,120,18875.027,18931.968,19408.704
49,rtREV,9633.322,99,19464.644,19501.932,19904.927
50,rtREV+I,9550.059,100,19300.118,19338.232,19744.849
51,rtREV+G4,9464.832,100,19129.665,19167.778,19574.395
52,rtREV+I+G4,9464.601,101,19131.202,19170.151,19580.380
53,rtREV+F,9505.062,118,19246.123,19300.975,19770.905
54,rtREV+F+I,9427.877,119,19093.754,19149.644,19622.983
55,rtREV+F+G4,9337.244,119,18912.487,18968.378,19441.717
56,rtREV+F+I+G4,9337.242,120,18914.484,18971.425,19448.161
57,mtART,10155.506,99,20509.012,20546.300,20949.296
58,mtART+I,10034.108,100,20268.216,20306.329,20712.947
59,mtART+G4,9825.033,100,19850.066,19888.179,20294.797
60,mtART+I+G4,9824.762,101,19851.524,19890.472,20300.701
61,mtART+F,9769.315,118,19774.629,19829.481,20299.411
62,mtART+F+I,9667.229,119,19572.457,19628.347,20101.686
63,mtART+F+G4,9511.210,119,19260.421,19316.311,19789.650
64,mtART+F+I+G4,9511.117,120,19262.234,19319.175,19795.910
65,mtZOA,9812.609,99,19823.219,19860.507,20263.502
66,mtZOA+I,9715.224,100,19630.448,19668.561,20075.178
67,mtZOA+G4,9556.062,100,19312.124,19350.237,19756.854
68,mtZOA+I+G4,9555.960,101,19313.920,19352.869,19763.098
69,mtZOA+F,9551.960,118,19339.920,19394.771,19864.702
70,mtZOA+F+I,9467.193,119,19172.387,19228.277,19701.616
71,mtZOA+F+G4,9346.574,119,18931.148,18987.038,19460.377
72,mtZOA+F+I+G4,9346.558,120,18933.117,18990.058,19466.793
73,VT,9509.948,99,19217.895,19255.183,19658.179
74,VT+I,9442.711,100,19085.422,19123.535,19530.152
75,VT+G4,9369.163,100,18938.327,18976.440,19383.057
76,VT+I+G4,9369.304,101,18940.608,18979.557,19389.786
77,VT+F,9441.163,118,19118.326,19173.178,19643.108
78,VT+F+I,9376.102,119,18990.203,19046.094,19519.433
79,VT+F+G4,9299.729,119,18837.458,18893.348,19366.687
80,VT+F+I+G4,9299.938,120,18839.876,18896.817,19373.553
81,LG,9575.704,99,19349.409,19386.697,19789.692
82,LG+I,9496.250,100,19192.499,19230.613,19637.230
83,LG+G4,9407.021,100,19014.043,19052.156,19458.773
84,LG+I+G4,9407.027,101,19016.054,19055.003,19465.232
85,LG+F,9486.038,118,19208.077,19262.928,19732.859
86,LG+F+I,9411.655,119,19061.310,19117.201,19590.540
87,LG+F+G4,9319.871,119,18877.741,18933.632,19406.971
88,LG+F+I+G4,9319.950,120,18879.900,18936.841,19413.577
89,DCMut,9487.282,99,19172.564,19209.852,19612.848
90,DCMut+I,9416.876,100,19033.752,19071.865,19478.483
91,DCMut+G4,9339.971,100,18879.942,18918.055,19324.672
92,DCMut+I+G4,9339.764,101,18881.527,18920.476,19330.705
93,DCMut+F,9426.050,118,19088.101,19142.952,19612.883
94,DCMut+F+I,9356.300,119,18950.600,19006.491,19479.830
95,DCMut+F+G4,9271.451,119,18780.901,18836.792,19310.131
96,DCMut+F+I+G4,9271.426,120,18782.853,18839.794,19316.529
97,PMB,9692.590,99,19583.180,19620.468,20023.463
98,PMB+I,9626.158,100,19452.316,19490.429,19897.047
99,PMB+G4,9544.754,100,19289.508,19327.621,19734.239
100,PMB+I+G4,9545.046,101,19292.093,19331.042,19741.271
101,PMB+F,9599.271,118,19434.541,19489.393,19959.323
102,PMB+F+I,9533.506,119,19305.012,19360.902,19834.241
103,PMB+F+G4,9450.093,119,19138.185,19194.076,19667.415
104,PMB+F+I+G4,9450.399,120,19140.798,19197.739,19674.474
105,HIVb,9592.696,99,19383.392,19420.681,19823.676
106,HIVb+I,9480.668,100,19161.336,19199.449,19606.066
107,HIVb+G4,9384.627,100,18969.254,19007.367,19413.985
108,HIVb+I+G4,9383.868,101,18969.736,19008.685,19418.914
109,HIVb+F,9415.605,118,19067.210,19122.062,19591.992
110,HIVb+F+I,9316.853,119,18871.706,18927.596,19400.935
111,HIVb+F+G4,9211.675,119,18661.351,18717.241,19190.580
112,HIVb+F+I+G4,9211.167,120,18662.334,18719.275,19196.010
113,HIVw,9928.167,99,20054.334,20091.622,20494.618
114,HIVw+I,9808.394,100,19816.789,19854.902,20261.519
115,HIVw+G4,9713.010,100,19626.019,19664.132,20070.750
116,HIVw+I+G4,9711.999,101,19625.998,19664.947,20075.176
117,HIVw+F,9635.249,118,19506.498,19561.350,20031.280
118,HIVw+F+I,9530.279,119,19298.559,19354.449,19827.788
119,HIVw+F+G4,9430.282,119,19098.564,19154.454,19627.793
