No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,4731.840,15,9493.681,9494.435,9560.881
2,Dayhoff+I,4654.877,16,9341.755,9342.611,9413.435
3,Dayhoff+G4,4626.703,16,9285.405,9286.262,9357.086
4,Dayhoff+I+G4,4628.054,17,9290.108,9291.073,9366.269
5,Dayhoff+F,4712.771,34,9493.542,9497.400,9645.864
6,Dayhoff+F+I,4635.331,35,9340.662,9344.753,9497.464
7,Dayhoff+F+G4,4606.553,35,9283.107,9287.198,9439.908
8,Dayhoff+F+I+G4,4607.786,36,9287.571,9291.903,9448.853
9,mtMAM,5117.532,15,10265.065,10265.819,10332.265
10,mtMAM+I,5024.331,16,10080.663,10081.520,10152.344
11,mtMAM+G4,4953.604,16,9939.209,9940.066,10010.890
12,mtMAM+I+G4,4954.698,17,9943.396,9944.362,10019.557
13,mtMAM+F,4823.398,34,9714.795,9718.652,9867.117
14,mtMAM+F+I,4725.436,35,9520.872,9524.963,9677.674
15,mtMAM+F+G4,4675.472,35,9420.943,9425.034,9577.745
16,mtMAM+F+I+G4,4675.622,36,9423.243,9427.575,9584.525
17,JTT,4676.603,15,9383.206,9383.961,9450.407
18,JTT+I,4614.351,16,9260.701,9261.558,9332.382
19,JTT+G4,4592.972,16,9217.944,9218.801,9289.625
20,JTT+I+G4,4593.524,17,9221.047,9222.012,9297.208
21,JTT+F,4661.303,34,9390.607,9394.464,9542.928
22,JTT+F+I,4595.262,35,9260.523,9264.614,9417.325
23,JTT+F+G4,4573.035,35,9216.071,9220.162,9372.872
24,JTT+F+I+G4,4573.549,36,9219.097,9223.429,9380.379
25,WAG,4722.315,15,9474.630,9475.385,9541.831
26,WAG+I,4659.639,16,9351.278,9352.135,9422.959
27,WAG+G4,4638.506,16,9309.012,9309.869,9380.693
28,WAG+I+G4,4639.024,17,9312.048,9313.013,9388.208
29,WAG+F,4697.915,34,9463.830,9467.688,9616.152
30,WAG+F+I,4632.646,35,9335.291,9339.382,9492.093
31,WAG+F+G4,4610.748,35,9291.496,9295.587,9448.298
32,WAG+F+I+G4,4611.271,36,9294.541,9298.873,9455.823
33,cpREV,4820.637,15,9671.274,9672.029,9738.475
34,cpREV+I,4745.198,16,9522.395,9523.252,9594.076
35,cpREV+G4,4714.527,16,9461.054,9461.911,9532.735
36,cpREV+I+G4,4714.984,17,9463.967,9464.933,9540.128
37,cpREV+F,4773.523,34,9615.046,9618.904,9767.368
38,cpREV+F+I,4691.546,35,9453.092,9457.183,9609.894
39,cpREV+F+G4,4657.439,35,9384.878,9388.969,9541.680
40,cpREV+F+I+G4,4657.865,36,9387.730,9392.062,9549.011
41,mtREV,5022.476,15,10074.951,10075.706,10142.152
42,mtREV+I,4950.728,16,9933.457,9934.314,10005.138
43,mtREV+G4,4910.914,16,9853.828,9854.685,9925.509
44,mtREV+I+G4,4911.457,17,9856.913,9857.879,9933.074
45,mtREV+F,4763.774,34,9595.548,9599.405,9747.869
46,mtREV+F+I,4682.329,35,9434.658,9438.749,9591.460
47,mtREV+F+G4,4646.400,35,9362.799,9366.890,9519.601
48,mtREV+F+I+G4,4646.901,36,9365.803,9370.135,9527.085
49,rtREV,4778.132,15,9586.264,9587.019,9653.465
50,rtREV+I,4711.362,16,9454.724,9455.581,9526.405
51,rtREV+G4,4688.972,16,9409.945,9410.802,9481.626
52,rtREV+I+G4,4689.118,17,9412.237,9413.202,9488.397
53,rtREV+F,4715.222,34,9498.443,9502.301,9650.765
54,rtREV+F+I,4646.598,35,9363.195,9367.286,9519.997
55,rtREV+F+G4,4622.958,35,9315.917,9320.007,9472.718
56,rtREV+F+I+G4,4623.161,36,9318.322,9322.654,9479.604
57,mtART,5107.774,15,10245.547,10246.302,10312.748
58,mtART+I,5003.728,16,10039.456,10040.313,10111.137
59,mtART+G4,4928.732,16,9889.464,9890.321,9961.145
60,mtART+I+G4,4928.924,17,9891.848,9892.813,9968.009
61,mtART+F,4824.854,34,9717.707,9721.564,9870.029
62,mtART+F+I,4727.828,35,9525.657,9529.748,9682.458
63,mtART+F+G4,4673.699,35,9417.399,9421.490,9574.200
64,mtART+F+I+G4,4673.706,36,9419.413,9423.744,9580.694
65,mtZOA,4980.678,15,9991.357,9992.112,10058.557
66,mtZOA+I,4895.283,16,9822.566,9823.423,9894.247
67,mtZOA+G4,4842.766,16,9717.531,9718.388,9789.212
68,mtZOA+I+G4,4843.007,17,9720.015,9720.980,9796.175
69,mtZOA+F,4763.224,34,9594.448,9598.306,9746.770
70,mtZOA+F+I,4680.099,35,9430.198,9434.289,9587.000
71,mtZOA+F+G4,4640.271,35,9350.542,9354.633,9507.344
72,mtZOA+F+I+G4,4640.364,36,9352.727,9357.059,9514.009
73,VT,4733.632,15,9497.263,9498.018,9564.464
74,VT+I,4675.842,16,9383.683,9384.540,9455.364
75,VT+G4,4656.872,16,9345.744,9346.601,9417.425
76,VT+I+G4,4657.117,17,9348.233,9349.199,9424.394
77,VT+F,4697.823,34,9463.645,9467.503,9615.967
78,VT+F+I,4637.834,35,9345.667,9349.758,9502.469
79,VT+F+G4,4618.571,35,9307.142,9311.233,9463.943
80,VT+F+I+G4,4618.819,36,9309.638,9313.969,9470.919
81,LG,4749.139,15,9528.278,9529.033,9595.479
82,LG+I,4683.248,16,9398.496,9399.353,9470.177
83,LG+G4,4658.954,16,9349.908,9350.765,9421.589
84,LG+I+G4,4659.011,17,9352.022,9352.987,9428.183
85,LG+F,4699.252,34,9466.504,9470.361,9618.825
86,LG+F+I,4631.315,35,9332.630,9336.721,9489.432
87,LG+F+G4,4606.411,35,9282.823,9286.914,9439.624
88,LG+F+I+G4,4606.494,36,9284.988,9289.319,9446.269
89,DCMut,4731.915,15,9493.830,9494.584,9561.030
90,DCMut+I,4655.047,16,9342.093,9342.950,9413.774
91,DCMut+G4,4626.990,16,9285.979,9286.836,9357.660
92,DCMut+I+G4,4627.182,17,9288.363,9289.328,9364.524
93,DCMut+F,4712.823,34,9493.646,9497.504,9645.968
94,DCMut+F+I,4635.475,35,9340.951,9345.042,9497.752
95,DCMut+F+G4,4606.811,35,9283.623,9287.714,9440.424
96,DCMut+F+I+G4,4607.013,36,9286.026,9290.358,9447.308
97,PMB,4743.901,15,9517.803,9518.557,9585.003
98,PMB+I,4687.842,16,9407.684,9408.540,9479.364
99,PMB+G4,4668.482,16,9368.964,9369.820,9440.644
100,PMB+I+G4,4668.747,17,9371.495,9372.460,9447.655
101,PMB+F,4722.889,34,9513.778,9517.635,9666.099
102,PMB+F+I,4663.661,35,9397.322,9401.413,9554.123
103,PMB+F+G4,4644.291,35,9358.581,9362.672,9515.383
104,PMB+F+I+G4,4644.550,36,9361.100,9365.432,9522.382
105,HIVb,4833.777,15,9697.554,9698.309,9764.755
106,HIVb+I,4741.159,16,9514.319,9515.175,9586.000
107,HIVb+G4,4704.086,16,9440.172,9441.029,9511.853
108,HIVb+I+G4,4704.011,17,9442.023,9442.988,9518.184
109,HIVb+F,4787.081,34,9642.161,9646.019,9794.483
110,HIVb+F+I,4686.896,35,9443.791,9447.882,9600.593
111,HIVb+F+G4,4648.453,35,9366.906,9370.997,9523.707
112,HIVb+F+I+G4,4648.349,36,9368.699,9373.031,9529.981
113,HIVw,5003.214,15,10036.427,10037.182,10103.628
114,HIVw+I,4895.374,16,9822.748,9823.605,9894.429
115,HIVw+G4,4853.306,16,9738.612,9739.469,9810.293
116,HIVw+I+G4,4852.893,17,9739.786,9740.751,9815.947
117,HIVw+F,4877.306,34,9822.612,9826.469,9974.934
118,HIVw+F+I,4761.865,35,9593.731,9597.822,9750.532
119,HIVw+F+G4,4722.339,35,9514.678,9518.769,9671.479
120,HIVw+F+I+G4,4721.815,36,9515.631,9519.962,9676.912
121,JTTDCMut,4678.117,15,9386.235,9386.989,9453.435
122,JTTDCMut+I,4615.578,16,9263.156,9264.013,9334.837
123,JTTDCMut+G4,4593.904,16,9219.809,9220.666,9291.490
124,JTTDCMut+I+G4,4594.088,17,9222.176,9223.142,9298.337
125,JTTDCMut+F,4662.625,34,9393.250,9397.107,9545.571
126,JTTDCMut+F+I,4596.431,35,9262.863,9266.954,9419.664
127,JTTDCMut+F+G4,4573.896,35,9217.792,9221.883,9374.593
128,JTTDCMut+F+I+G4,4574.062,36,9220.124,9224.456,9381.406
129,FLU,4809.618,15,9649.235,9649.990,9716.436
130,FLU+I,4727.671,16,9487.341,9488.198,9559.022
131,FLU+G4,4685.669,16,9403.337,9404.194,9475.018
132,FLU+I+G4,4685.756,17,9405.512,9406.478,9481.673
133,FLU+F,4752.813,34,9573.627,9577.484,9725.948
134,FLU+F+I,4661.274,35,9392.549,9396.640,9549.350
135,FLU+F+G4,4618.475,35,9306.951,9311.042,9463.752
136,FLU+F+I+G4,4618.580,36,9309.160,9313.492,9470.442
137,Blosum62,4765.781,15,9561.563,9562.317,9628.763
138,Blosum62+I,4709.918,16,9451.836,9452.693,9523.517
139,Blosum62+G4,4690.635,16,9413.270,9414.127,9484.951
140,Blosum62+I+G4,4690.805,17,9415.610,9416.576,9491.771
141,Blosum62+F,4728.838,34,9525.677,9529.534,9677.998
142,Blosum62+F+I,4669.794,35,9409.589,9413.680,9566.390
143,Blosum62+F+G4,4649.965,35,9369.931,9374.022,9526.732
144,Blosum62+F+I+G4,4650.147,36,9372.295,9376.626,9533.576
145,mtMet,5011.189,15,10052.378,10053.133,10119.579
146,mtMet+I,4939.331,16,9910.662,9911.519,9982.343
147,mtMet+G4,4899.883,16,9831.766,9832.623,9903.447
148,mtMet+I+G4,4899.988,17,9833.977,9834.942,9910.138
149,mtMet+F,4724.940,34,9517.880,9521.738,9670.202
150,mtMet+F+I,4650.078,35,9370.157,9374.248,9526.958
151,mtMet+F+G4,4620.157,35,9310.314,9314.405,9467.115
152,mtMet+F+I+G4,4620.135,36,9312.270,9316.602,9473.552
153,mtVer,5059.262,15,10148.525,10149.279,10215.725
154,mtVer+I,4981.686,16,9995.372,9996.228,10067.052
155,mtVer+G4,4934.173,16,9900.346,9901.203,9972.027
156,mtVer+I+G4,4934.212,17,9902.423,9903.389,9978.584
157,mtVer+F,4791.200,34,9650.400,9654.258,9802.722
158,mtVer+F+I,4700.794,35,9471.588,9475.679,9628.389
159,mtVer+F+G4,4665.626,35,9401.252,9405.343,9558.054
160,mtVer+F+I+G4,4665.314,36,9402.628,9406.960,9563.910
161,mtInv,5049.115,15,10128.230,10128.984,10195.430
162,mtInv+I,4981.426,16,9994.852,9995.708,10066.532
163,mtInv+G4,4948.320,16,9928.640,9929.496,10000.320
164,mtInv+I+G4,4948.422,17,9930.844,9931.809,10007.005
165,mtInv+F,4700.855,34,9469.711,9473.568,9622.032
166,mtInv+F+I,4631.055,35,9332.110,9336.201,9488.911
167,mtInv+F+G4,4604.975,35,9279.951,9284.042,9436.752
168,mtInv+F+I+G4,4604.998,36,9281.995,9286.327,9443.277
