No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,34416.843,97,69027.687,69038.863,69560.700
2,JC+I,32786.997,98,65769.993,65781.408,66308.502
3,JC+G4,31668.090,98,63532.181,63543.595,64070.689
4,JC+I+G4,31644.989,99,63487.977,63499.631,64031.981
5,F81+F,34389.316,100,68978.632,68990.529,69528.131
6,F81+F+I,32773.639,101,65749.277,65761.418,66304.271
7,F81+F+G4,31644.932,101,63491.864,63504.005,64046.857
8,F81+F+I+G4,31623.895,102,63451.789,63464.179,64012.278
9,K2P,33706.571,98,67609.142,67620.556,68147.650
10,K2P+I,32046.732,99,64291.465,64303.118,64835.468
11,K2P+G4,30856.208,99,61910.417,61922.070,62454.420
12,K2P+I+G4,30828.622,100,61857.244,61869.141,62406.743
13,HKY+F,33683.704,101,67569.409,67581.550,68124.402
14,HKY+F+I,32031.372,102,64266.745,64279.134,64827.233
15,HKY+F+G4,30841.884,102,61887.768,61900.157,62448.256
16,HKY+F+I+G4,30816.526,103,61839.052,61851.691,62405.035
17,TNe,33694.783,99,67587.565,67599.219,68131.569
18,TNe+I,32013.122,100,64226.243,64238.140,64775.742
19,TNe+G4,30836.042,100,61872.085,61883.981,62421.583
20,TNe+I+G4,30807.198,101,61816.397,61828.538,62371.390
21,TN+F,33683.704,102,67571.409,67583.798,68131.898
22,TN+F+I,32025.257,103,64256.514,64269.154,64822.498
23,TN+F+G4,30840.728,103,61887.456,61900.096,62453.440
24,TN+F+I+G4,30815.075,104,61838.149,61851.042,62409.628
25,K3P,33701.822,99,67601.645,67613.299,68145.648
26,K3P+I,32041.799,100,64283.599,64295.495,64833.097
27,K3P+G4,30852.862,100,61905.725,61917.621,62455.223
28,K3P+I+G4,30825.569,101,61853.139,61865.280,62408.133
29,K3Pu+F,33679.012,102,67562.025,67574.414,68122.513
30,K3Pu+F+I,32028.424,103,64262.849,64275.488,64828.832
31,K3Pu+F+G4,30840.217,103,61886.434,61899.073,62452.418
32,K3Pu+F+I+G4,30815.125,104,61838.250,61851.143,62409.729
33,TPM2+F,33670.116,102,67544.231,67556.620,68104.720
34,TPM2+F+I,32023.285,103,64252.570,64265.209,64818.553
35,TPM2+F+G4,30829.025,103,61864.050,61876.690,62430.034
36,TPM2+F+I+G4,30804.624,104,61817.247,61830.140,62388.726
37,TPM2u+F,33670.117,102,67544.235,67556.624,68104.723
38,TPM2u+F+I,32023.285,103,64252.570,64265.210,64818.554
39,TPM2u+F+G4,30829.025,103,61864.050,61876.690,62430.034
40,TPM2u+F+I+G4,30804.629,104,61817.258,61830.151,62388.737
41,TPM3+F,33619.130,102,67442.261,67454.650,68002.749
42,TPM3+F+I,32014.051,103,64234.103,64246.742,64800.087
43,TPM3+F+G4,30824.511,103,61855.022,61867.662,62421.006
44,TPM3+F+I+G4,30800.318,104,61808.636,61821.528,62380.114
45,TPM3u+F,33619.130,102,67442.261,67454.650,68002.749
46,TPM3u+F+I,32014.052,103,64234.104,64246.744,64800.088
47,TPM3u+F+G4,30824.511,103,61855.022,61867.661,62421.005
48,TPM3u+F+I+G4,30800.321,104,61808.643,61821.535,62380.121
49,TIMe,33690.036,100,67580.071,67591.968,68129.570
50,TIMe+I,32008.207,101,64218.413,64230.555,64773.407
51,TIMe+G4,30832.760,101,61867.519,61879.661,62422.513
52,TIMe+I+G4,30804.212,102,61812.425,61824.814,62372.913
53,TIM+F,33679.017,103,67564.034,67576.673,68130.017
54,TIM+F+I,32022.334,104,64252.667,64265.560,64824.146
55,TIM+F+G4,30839.068,104,61886.135,61899.028,62457.614
56,TIM+F+I+G4,30813.689,105,61837.377,61850.525,62414.351
57,TIM2e,33693.893,100,67587.786,67599.682,68137.284
58,TIM2e+I,32012.992,101,64227.984,64240.125,64782.978
59,TIM2e+G4,30835.664,101,61873.328,61885.470,62428.322
60,TIM2e+I+G4,30807.036,102,61818.073,61830.462,62378.561
61,TIM2+F,33670.116,103,67546.232,67558.871,68112.215
62,TIM2+F+I,32017.164,104,64242.329,64255.221,64813.807
63,TIM2+F+G4,30827.865,104,61863.730,61876.623,62435.209
64,TIM2+F+I+G4,30803.185,105,61816.371,61829.519,62393.344
65,TIM3e,33633.859,100,67467.718,67479.615,68017.217
66,TIM3e+I,32000.120,101,64202.240,64214.381,64757.234
67,TIM3e+G4,30822.309,101,61846.619,61858.760,62401.613
68,TIM3e+I+G4,30794.600,102,61793.201,61805.590,62353.689
69,TIM3+F,33619.113,103,67444.225,67456.865,68010.209
70,TIM3+F+I,32007.921,104,64223.842,64236.735,64795.321
71,TIM3+F+G4,30823.027,104,61854.053,61866.946,62425.532
72,TIM3+F+I+G4,30798.555,105,61807.110,61820.258,62384.084
73,TVMe,33642.100,101,67486.200,67498.342,68041.194
74,TVMe+I,32029.093,102,64262.186,64274.575,64822.674
75,TVMe+G4,30840.260,102,61884.520,61896.910,62445.009
76,TVMe+I+G4,30814.142,103,61834.283,61846.923,62400.267
77,TVM+F,33602.297,104,67412.594,67425.487,67984.073
78,TVM+F+I,32002.823,105,64215.645,64228.793,64792.619
79,TVM+F+G4,30809.809,105,61829.619,61842.767,62406.592
