dataset,species,datatype,ref_num,est_num,sp,tc
PF02566,PANDIT,NT,46,50,0.705618665694495,0.0
PF02566,PANDIT,NT,44,50,0.7348337291105241,0.13489208633093525
PF02566,PANDIT,NT,25,50,0.6892784120588016,0.11567164179104478
PF02566,PANDIT,NT,18,50,0.694971671388102,0.1651031894934334
PF02566,PANDIT,NT,21,50,0.7696119825279109,0.17670682730923695
PF02566,PANDIT,NT,38,50,0.6666467351436017,0.0
PF02566,PANDIT,NT,40,50,0.782942763935731,0.17374517374517376
PF02566,PANDIT,NT,42,50,0.71573314463879,0.03683241252302026
PF02566,PANDIT,NT,8,50,0.7478973111270885,0.17723880597014927
PF02566,PANDIT,NT,23,50,0.7572000824717976,0.0
PF02566,PANDIT,NT,45,50,0.7296606741605381,0.18840579710144928
PF02566,PANDIT,NT,19,50,0.6538147706623766,0.0
PF02566,PANDIT,NT,24,50,0.7272908692049509,0.16666666666666666
PF02566,PANDIT,NT,26,50,0.6981089718974675,0.16792452830188678
PF02566,PANDIT,NT,47,50,0.7109291211510357,0.1450381679389313
PF02566,PANDIT,NT,43,50,0.7018031466246376,0.07952286282306163
PF02566,PANDIT,NT,9,50,0.7526666382186018,0.12115384615384615
PF02566,PANDIT,NT,22,50,0.7093916844337017,0.14442413162705667
PF02566,PANDIT,NT,20,50,0.7299242605854295,0.18292682926829268
PF02566,PANDIT,NT,41,50,0.6844065884509252,0.1390593047034765
PF02566,PANDIT,NT,39,50,0.6706624365407882,0.0
PF02566,PANDIT,NT,35,50,0.7231630309988519,0.16888045540796964
PF02566,PANDIT,NT,7,50,0.7350010168802115,0.2058252427184466
PF02566,PANDIT,NT,11,50,0.7286415654603664,0.15145631067961166
PF02566,PANDIT,NT,13,50,0.7164194435563092,0.145748987854251
PF02566,PANDIT,NT,5,50,0.7512609588991014,0.15500945179584122
PF02566,PANDIT,NT,37,50,0.7175661833464905,0.13043478260869565
PF02566,PANDIT,NT,1,50,0.767687097688471,0.10821643286573146
PF02566,PANDIT,NT,33,50,0.7319125921705468,0.12770137524557956
PF02566,PANDIT,NT,17,50,0.7100101346288248,0.12571428571428572
PF02566,PANDIT,NT,28,50,0.7512768553173012,0.13108614232209737
PF02566,PANDIT,NT,15,50,0.7108807988047083,0.0
PF02566,PANDIT,NT,31,50,0.6976890993785628,0.15630885122410546
PF02566,PANDIT,NT,49,50,0.7259731394120563,0.041666666666666664
PF02566,PANDIT,NT,3,50,0.6780523811102765,0.08984375
PF02566,PANDIT,NT,12,50,0.7467711931969173,0.1490566037735849
PF02566,PANDIT,NT,36,50,0.7235845717303129,0.18072289156626506
PF02566,PANDIT,NT,4,50,0.7332859579306424,0.13670411985018727
PF02566,PANDIT,NT,6,50,0.7559940410939652,0.15738963531669867
PF02566,PANDIT,NT,34,50,0.7413422473793815,0.1245136186770428
PF02566,PANDIT,NT,10,50,0.7350592142961753,0.18672199170124482
PF02566,PANDIT,NT,14,50,0.7702405042630973,0.19254658385093168
PF02566,PANDIT,NT,29,50,0.7355086782068404,0.15384615384615385
PF02566,PANDIT,NT,48,50,0.7405903361436902,0.17142857142857143
PF02566,PANDIT,NT,2,50,0.7040192604261312,0.19076305220883535
PF02566,PANDIT,NT,30,50,0.720548662419637,0.140625
PF02566,PANDIT,NT,32,50,0.7400077463419633,0.11538461538461539
PF02566,PANDIT,NT,16,50,0.7235237201881957,0.18045112781954886
