dataset,species,datatype,ref_num,est_num,sp,tc
PF04909,PANDIT,AA,19,50,0.7574512580812188,0.05446293494704992
PF04909,PANDIT,AA,24,50,0.7270220048706784,0.059602649006622516
PF04909,PANDIT,AA,26,50,0.7382184533447017,0.04447852760736196
PF04909,PANDIT,AA,47,50,0.7403719772255597,0.05583756345177665
PF04909,PANDIT,AA,43,50,0.7554777219173543,0.049475262368815595
PF04909,PANDIT,AA,22,50,0.7282371967329985,0.06046511627906977
PF04909,PANDIT,AA,20,50,0.7204918605604069,0.03079416531604538
PF04909,PANDIT,AA,9,50,0.7344711626147262,0.0484375
PF04909,PANDIT,AA,41,50,0.7382121824576631,0.0624048706240487
PF04909,PANDIT,AA,39,50,0.7388883005690332,0.038980509745127435
PF04909,PANDIT,AA,27,50,0.741934133720655,0.045234248788368334
PF04909,PANDIT,AA,46,50,0.7361762226703433,0.04567699836867863
PF04909,PANDIT,AA,44,50,0.6915175687936204,0.03814262023217247
PF04909,PANDIT,AA,25,50,0.7208525453798433,0.04020979020979021
PF04909,PANDIT,AA,18,50,0.7421297324783526,0.04595879556259905
PF04909,PANDIT,AA,8,50,0.7508185875162056,0.05646359583952452
PF04909,PANDIT,AA,21,50,0.7677618607864631,0.07178631051752922
PF04909,PANDIT,AA,38,50,0.7125103797995134,0.06578947368421052
PF04909,PANDIT,AA,40,50,0.7000199919032791,0.04081632653061224
PF04909,PANDIT,AA,42,50,0.7454633644030877,0.054385964912280704
PF04909,PANDIT,AA,23,50,0.7389784673188187,0.042488619119878605
PF04909,PANDIT,AA,6,50,0.7316125802433183,0.06925675675675676
PF04909,PANDIT,AA,12,50,0.7333404065717358,0.04636785162287481
PF04909,PANDIT,AA,36,50,0.7395064871591162,0.04484304932735426
PF04909,PANDIT,AA,34,50,0.7593668425437379,0.0629575402635432
PF04909,PANDIT,AA,10,50,0.7079156989972853,0.04617834394904458
PF04909,PANDIT,AA,4,50,0.7047569904483318,0.07027027027027027
PF04909,PANDIT,AA,14,50,0.7358849283681395,0.057902973395931145
PF04909,PANDIT,AA,29,50,0.6943477924305098,0.06372549019607843
PF04909,PANDIT,AA,48,50,0.7388244059093135,0.027777777777777776
PF04909,PANDIT,AA,30,50,0.7306820304479587,0.013138686131386862
PF04909,PANDIT,AA,32,50,0.7266794890762933,0.050793650793650794
PF04909,PANDIT,AA,2,50,0.7544673298353227,0.05564648117839607
PF04909,PANDIT,AA,16,50,0.7205149846589838,0.051666666666666666
PF04909,PANDIT,AA,35,50,0.7539672653519632,0.046579330422125184
PF04909,PANDIT,AA,5,50,0.7492699082491016,0.05247376311844078
PF04909,PANDIT,AA,11,50,0.7257321493991609,0.0382262996941896
PF04909,PANDIT,AA,13,50,0.7302128149359411,0.033846153846153845
PF04909,PANDIT,AA,7,50,0.7511180470269873,0.05741626794258373
PF04909,PANDIT,AA,37,50,0.6900608041974672,0.05581395348837209
PF04909,PANDIT,AA,33,50,0.7341741835225832,0.06020066889632107
PF04909,PANDIT,AA,17,50,0.7103339304933411,0.046031746031746035
PF04909,PANDIT,AA,3,50,0.7122855488739395,0.052364864864864864
PF04909,PANDIT,AA,1,50,0.7424760188115089,0.059931506849315065
PF04909,PANDIT,AA,28,50,0.7182189818654047,0.07388316151202749
PF04909,PANDIT,AA,15,50,0.6950222147758034,0.05573770491803279
PF04909,PANDIT,AA,31,50,0.7100964358688677,0.046583850931677016
PF04909,PANDIT,AA,49,50,0.7303978346995655,0.0707070707070707
