id,dataset,datatype,rep_num
EMGT00050000000002,Drosophila,NT,40
EMGT00050000000018,Drosophila,AA,13
EMGT00050000000018,Drosophila,NT,6
EMGT00050000000026,Drosophila,AA,17
EMGT00050000000031,Drosophila,NT,2
EMGT00050000000040,Drosophila,AA,2
EMGT00050000000040,Drosophila,NT,33
EMGT00050000000052,Drosophila,AA,11
EMGT00050000000053,Drosophila,AA,48
EMGT00050000000054,Drosophila,AA,34
EMGT00050000000054,Drosophila,NT,43
EMGT00050000000058,Drosophila,NT,43
EMGT00050000000059,Drosophila,AA,28
EMGT00050000000059,Drosophila,NT,3
EMGT00050000000076,Drosophila,NT,46
EMGT00050000000079,Drosophila,NT,33
EMGT00050000000081,Drosophila,NT,6
EMGT00050000000087,Drosophila,AA,14
EMGT00050000000089,Drosophila,AA,38
EMGT00050000000089,Drosophila,NT,37
EMGT00050000000090,Drosophila,AA,11
EMGT00050000000090,Drosophila,NT,23
EMGT00050000000095,Drosophila,AA,41
EMGT00050000000109,Drosophila,AA,19
EMGT00050000000145,Drosophila,AA,46
EMGT00050000000145,Drosophila,NT,31
EMGT00050000000146,Drosophila,AA,33
EMGT00050000000148,Drosophila,AA,22
EMGT00050000000148,Drosophila,NT,10
EMGT00050000000150,Drosophila,AA,17
EMGT00050000000150,Drosophila,NT,18
EMGT00050000000152,Drosophila,AA,5
EMGT00050000000156,Drosophila,NT,45
EMGT00050000000160,Drosophila,AA,47
EMGT00050000000160,Drosophila,NT,30
EMGT00050000000162,Drosophila,NT,21
EMGT00050000000164,Drosophila,AA,36
EMGT00050000000164,Drosophila,NT,39
EMGT00050000000169,Drosophila,AA,17
EMGT00050000000170,Drosophila,AA,46
EMGT00050000000170,Drosophila,NT,49
EMGT00050000000171,Drosophila,AA,2
EMGT00050000000171,Drosophila,NT,10
EMGT00050000000172,Drosophila,AA,12
EMGT00050000000173,Drosophila,NT,44
EMGT00050000000182,Drosophila,AA,16
EMGT00050000000182,Drosophila,NT,24
EMGT00050000000184,Drosophila,NT,44
EMGT00050000000185,Drosophila,AA,12
EMGT00050000000185,Drosophila,NT,20
EMGT00050000000186,Drosophila,NT,3
EMGT00050000000196,Drosophila,NT,11
EMGT00050000000197,Drosophila,AA,47
EMGT00050000000197,Drosophila,NT,48
EMGT00050000000209,Drosophila,NT,2
EMGT00050000000254,Drosophila,NT,31
EMGT00050000000265,Drosophila,AA,37
EMGT00050000000265,Drosophila,NT,40
EMGT00050000000269,Drosophila,NT,40
EMGT00050000000270,Drosophila,AA,23
EMGT00050000000270,Drosophila,NT,11
EMGT00050000000273,Drosophila,AA,13
EMGT00050000000274,Drosophila,NT,25
EMGT00050000000289,Drosophila,AA,32
EMGT00050000000289,Drosophila,NT,45
EMGT00050000000300,Drosophila,NT,34
EMGT00050000000301,Drosophila,AA,27
EMGT00050000000302,Drosophila,AA,4
EMGT00050000000303,Drosophila,NT,39
EMGT00050000000307,Drosophila,AA,47
EMGT00050000000315,Drosophila,AA,12
EMGT00050000000315,Drosophila,NT,20
EMGT00050000000320,Drosophila,AA,12
EMGT00050000000320,Drosophila,NT,7
EMGT00050000000324,Drosophila,NT,14
EMGT00050000000331,Drosophila,AA,32
EMGT00050000000331,Drosophila,NT,45
EMGT00050000000332,Drosophila,AA,9
EMGT00050000000354,Drosophila,AA,14
EMGT00050000000354,Drosophila,NT,26
EMGT00050000000356,Drosophila,AA,38
EMGT00050000000360,Drosophila,AA,35
EMGT00050000000361,Drosophila,AA,29
EMGT00050000000361,Drosophila,NT,26
EMGT00050000000364,Drosophila,AA,44
EMGT00050000000364,Drosophila,NT,33
EMGT00050000000365,Drosophila,AA,20
EMGT00050000000365,Drosophila,NT,12
EMGT00050000000366,Drosophila,AA,10
EMGT00050000000366,Drosophila,NT,22
EMGT00050000000368,Drosophila,AA,44
EMGT00050000000368,Drosophila,NT,33
EMGT00050000000370,Drosophila,AA,34
EMGT00050000000370,Drosophila,NT,43
EMGT00050000000371,Drosophila,NT,27
EMGT00050000000374,Drosophila,AA,8
EMGT00050000000375,Drosophila,NT,13
EMGT00050000000376,Drosophila,AA,11
EMGT00050000000380,Drosophila,AA,48
EMGT00050000000380,Drosophila,NT,47
EMGT00050000000383,Drosophila,NT,32
EMGT00050000000389,Drosophila,NT,17
EMGT00050000000391,Drosophila,AA,7
EMGT00050000000391,Drosophila,NT,22
EMGT00050000000394,Drosophila,AA,38
EMGT00050000000395,Drosophila,AA,24
EMGT00050000000395,Drosophila,NT,16
EMGT00050000000403,Drosophila,AA,7
EMGT00050000000403,Drosophila,NT,16
EMGT00050000000406,Drosophila,AA,49
EMGT00050000000406,Drosophila,NT,46
EMGT00050000000410,Drosophila,AA,15
EMGT00050000000410,Drosophila,NT,5
EMGT00050000000415,Drosophila,NT,32
EMGT00050000000423,Drosophila,NT,47
EMGT00050000000449,Drosophila,NT,14
EMGT00050000000486,Drosophila,AA,42
EMGT00050000000486,Drosophila,NT,35
EMGT00050000000487,Drosophila,AA,26
EMGT00050000000487,Drosophila,NT,14
EMGT00050000000490,Drosophila,NT,11
EMGT00050000000500,Drosophila,AA,46
EMGT00050000000500,Drosophila,NT,49
EMGT00050000000505,Drosophila,AA,16
EMGT00050000000505,Drosophila,NT,19
EMGT00050000000506,Drosophila,AA,26
EMGT00050000000506,Drosophila,NT,29
EMGT00050000000508,Drosophila,AA,9
EMGT00050000000508,Drosophila,NT,40
EMGT00050000000509,Drosophila,AA,16
EMGT00050000000514,Drosophila,AA,36
EMGT00050000000514,Drosophila,NT,39
EMGT00050000000522,Drosophila,AA,43
EMGT00050000000528,Drosophila,AA,23
EMGT00050000000528,Drosophila,NT,11
EMGT00050000000556,Drosophila,AA,45
EMGT00050000000556,Drosophila,NT,32
EMGT00050000000557,Drosophila,NT,9
EMGT00050000000570,Drosophila,NT,46
EMGT00050000000572,Drosophila,AA,20
EMGT00050000000572,Drosophila,NT,6
EMGT00050000000581,Drosophila,NT,26
EMGT00050000000583,Drosophila,AA,38
EMGT00050000000583,Drosophila,NT,37
EMGT00050000000584,Drosophila,AA,44
EMGT00050000000587,Drosophila,AA,31
EMGT00050000000587,Drosophila,NT,46
EMGT00050000000588,Drosophila,AA,44
EMGT00050000000589,Drosophila,AA,20
EMGT00050000000589,Drosophila,NT,12
EMGT00050000000602,Drosophila,AA,32
EMGT00050000000602,Drosophila,NT,45
EMGT00050000000618,Drosophila,NT,8
EMGT00050000000619,Drosophila,AA,37
EMGT00050000000626,Drosophila,AA,12
EMGT00050000000626,Drosophila,NT,20
EMGT00050000000627,Drosophila,AA,33
EMGT00050000000627,Drosophila,NT,44
EMGT00050000000630,Drosophila,NT,41
EMGT00050000000632,Drosophila,NT,28
EMGT00050000000634,Drosophila,NT,48
EMGT00050000000638,Drosophila,AA,47
EMGT00050000000640,Drosophila,AA,41
EMGT00050000000640,Drosophila,NT,4
EMGT00050000000643,Drosophila,AA,34
EMGT00050000000643,Drosophila,NT,43
EMGT00050000000644,Drosophila,NT,47
EMGT00050000000649,Drosophila,AA,11
EMGT00050000000649,Drosophila,NT,23
EMGT00050000000652,Drosophila,AA,14
EMGT00050000000658,Drosophila,AA,31
EMGT00050000000658,Drosophila,NT,1
EMGT00050000000659,Drosophila,NT,22
EMGT00050000000660,Drosophila,AA,10
EMGT00050000000660,Drosophila,NT,22
EMGT00050000000663,Drosophila,AA,20
EMGT00050000000663,Drosophila,NT,3
EMGT00050000000664,Drosophila,AA,19
EMGT00050000000667,Drosophila,AA,29
EMGT00050000000677,Drosophila,NT,27
EMGT00050000000680,Drosophila,NT,4
EMGT00050000000681,Drosophila,AA,34
EMGT00050000000681,Drosophila,NT,8
EMGT00050000000683,Drosophila,NT,17
EMGT00050000000685,Drosophila,NT,32
EMGT00050000000687,Drosophila,NT,23
EMGT00050000000689,Drosophila,NT,32
EMGT00050000000692,Drosophila,AA,38
EMGT00050000000692,Drosophila,NT,2
EMGT00050000000694,Drosophila,NT,12
EMGT00050000000706,Drosophila,AA,11
EMGT00050000000706,Drosophila,NT,23
EMGT00050000000711,Drosophila,AA,29
EMGT00050000000715,Drosophila,AA,20
EMGT00050000000715,Drosophila,NT,12
EMGT00050000000717,Drosophila,AA,49
EMGT00050000000717,Drosophila,NT,46
EMGT00050000000718,Drosophila,NT,33
EMGT00050000000719,Drosophila,NT,5
EMGT00050000000744,Drosophila,AA,27
EMGT00050000000744,Drosophila,NT,28
EMGT00050000000745,Drosophila,AA,43
EMGT00050000000745,Drosophila,NT,34
EMGT00050000000759,Drosophila,NT,35
EMGT00050000000760,Drosophila,NT,35
EMGT00050000000761,Drosophila,AA,26
EMGT00050000000763,Drosophila,NT,40
EMGT00050000000797,Drosophila,NT,35
EMGT00050000000806,Drosophila,NT,34
EMGT00050000000807,Drosophila,AA,27
EMGT00050000000807,Drosophila,NT,15
EMGT00050000000845,Drosophila,AA,11
EMGT00050000000845,Drosophila,NT,23
EMGT00050000000847,Drosophila,NT,5
EMGT00050000000850,Drosophila,AA,38
EMGT00050000000850,Drosophila,NT,37
EMGT00050000000853,Drosophila,AA,35
EMGT00050000000855,Drosophila,AA,10
EMGT00050000000855,Drosophila,NT,22
EMGT00050000000858,Drosophila,NT,4
EMGT00050000000860,Drosophila,AA,10
EMGT00050000000860,Drosophila,NT,22
EMGT00050000000873,Drosophila,NT,13
EMGT00050000000877,Drosophila,NT,8
EMGT00050000000887,Drosophila,AA,11
EMGT00050000000891,Drosophila,AA,35
EMGT00050000000891,Drosophila,NT,42
EMGT00050000000898,Drosophila,AA,20
EMGT00050000000902,Drosophila,AA,25
EMGT00050000000904,Drosophila,NT,32
EMGT00050000000907,Drosophila,AA,5
EMGT00050000000919,Drosophila,NT,12
EMGT00050000000970,Drosophila,AA,43
EMGT00050000000970,Drosophila,NT,34
EMGT00050000000986,Drosophila,AA,27
EMGT00050000000986,Drosophila,NT,8
EMGT00050000001013,Drosophila,AA,32
EMGT00050000001013,Drosophila,NT,45
EMGT00050000001014,Drosophila,AA,36
EMGT00050000001018,Drosophila,AA,36
EMGT00050000001018,Drosophila,NT,41
EMGT00050000001020,Drosophila,AA,17
EMGT00050000001020,Drosophila,NT,25
EMGT00050000001026,Drosophila,AA,5
EMGT00050000001031,Drosophila,AA,37
EMGT00050000001031,Drosophila,NT,40
EMGT00050000001032,Drosophila,AA,42
EMGT00050000001032,Drosophila,NT,35
EMGT00050000001033,Drosophila,AA,26
EMGT00050000001033,Drosophila,NT,29
EMGT00050000001038,Drosophila,AA,8
EMGT00050000001038,Drosophila,NT,10
EMGT00050000001040,Drosophila,NT,16
EMGT00050000001041,Drosophila,AA,40
EMGT00050000001042,Drosophila,NT,7
EMGT00050000001047,Drosophila,AA,20
EMGT00050000001048,Drosophila,NT,4
EMGT00050000001052,Drosophila,AA,34
EMGT00050000001055,Drosophila,AA,30
EMGT00050000001055,Drosophila,NT,47
