dataset,name,datatype,nseq,mean_nsites,sd_nsites
Drosophila,EMGT00050000003874,NT,9,924.3333333333334,371.7018294278359
Drosophila,EMGT00050000000718,NT,11,2668.090909090909,677.9432800088006
Drosophila,EMGT00050000008675,NT,11,1357.3636363636363,18.800386843215367
Drosophila,EMGT00050000001033,NT,10,3946.5,1560.7794527094468
Drosophila,EMGT00050000002722,NT,21,3277.8571428571427,723.311432628732
Drosophila,EMGT00050000002475,NT,12,2355.25,117.1604377843399
Drosophila,EMGT00050000001364,NT,11,1523.7272727272727,69.69374564348068
Drosophila,EMGT00050000000401,NT,22,2393.4545454545455,705.3787045857827
Drosophila,EMGT00050000002295,NT,9,1439.6666666666667,52.33784481615574
Drosophila,EMGT00050000000052,NT,17,639.8823529411765,68.3592370796928
Drosophila,EMGT00050000002371,NT,11,1818,29.516097302997224
Drosophila,EMGT00050000001460,NT,11,2806.909090909091,99.36544122123601
Drosophila,EMGT00050000000807,NT,10,4959.9,62.2904487060416
Drosophila,EMGT00050000003725,NT,12,4098,243.60698601715765
Drosophila,EMGT00050000000363,NT,12,1705.75,68.24837660406956
Drosophila,EMGT00050000001406,NT,10,1996.5,298.9088489824281
Drosophila,EMGT00050000001448,NT,12,2352.75,102.32135207721353
Drosophila,EMGT00050000002359,NT,10,2356.5,52.06246248498048
Drosophila,EMGT00050000004155,NT,46,789.3260869565217,56.4135737597595
Drosophila,EMGT00050000000583,NT,12,3599.25,498.31062327902185
Drosophila,EMGT00050000002090,NT,11,2034,49.16706214530211
Drosophila,EMGT00050000004966,NT,11,2041.909090909091,31.357469749501618
Drosophila,EMGT00050000001055,NT,13,917.3076923076923,526.8498180404267
Drosophila,EMGT00050000001665,NT,11,4260.272727272727,213.25950900679243
Drosophila,EMGT00050000001498,NT,10,2286.9,332.0121985710766
Drosophila,EMGT00050000002389,NT,23,1430.3478260869565,230.87060695149177
Drosophila,EMGT00050000006711,NT,10,1072.8,130.64608681472248
Drosophila,EMGT00050000006940,NT,9,762.6666666666666,357.21352158058073
Drosophila,EMGT00050000001560,NT,11,4781.727272727273,452.80814721228035
Drosophila,EMGT00050000007616,NT,21,1021.4285714285714,88.60224118416612
Drosophila,EMGT00050000008071,NT,12,1220.25,80.2044263117691
Drosophila,EMGT00050000007026,NT,12,2101.5,28.817608253540847
Drosophila,EMGT00050000004737,NT,12,3153.25,235.38213611062332
Drosophila,EMGT00050000001484,NT,11,3192,114.92780342458478
Drosophila,EMGT00050000001637,NT,10,2144.1,141.40756698281743
Drosophila,EMGT00050000000152,NT,11,1664.1818181818182,16.76196994280912
Drosophila,EMGT00050000001703,NT,7,1878,61.89507250177513
Drosophila,EMGT00050000005401,NT,14,616.0714285714286,77.25628108466628
Drosophila,EMGT00050000000855,NT,9,3964,363.68736574151154
Drosophila,EMGT00050000005231,NT,18,3049.3333333333335,236.68196581314865
Drosophila,EMGT00050000000182,NT,11,1462.090909090909,67.00515583961364
Drosophila,EMGT00050000000618,NT,12,2238.5,43.60254371228608
Drosophila,EMGT00050000000331,NT,12,3320.25,276.6074096818614
Drosophila,EMGT00050000001454,NT,12,1940.25,178.44842646852032
Drosophila,EMGT00050000004280,NT,10,1899,223.16809807855603
Drosophila,EMGT00050000007389,NT,11,4295.454545454545,186.78135005206684
Drosophila,EMGT00050000002190,NT,9,6207,106.72160043777454
Drosophila,EMGT00050000001681,NT,11,1525.090909090909,30.425169006776432
Drosophila,EMGT00050000000630,NT,10,4412.7,219.25989145304254
Drosophila,EMGT00050000001432,NT,9,5594.333333333333,197.76564413466764
Drosophila,EMGT00050000006968,NT,10,3110.4,58.3060888758627
Drosophila,EMGT00050000001548,NT,11,2167.909090909091,144.10791410984655
Drosophila,EMGT00050000001852,NT,12,2362,110.12554818767698
Drosophila,EMGT00050000002469,NT,9,750,241.13637220460956
Drosophila,EMGT00050000000907,NT,12,2321,57.76755931395154
Drosophila,EMGT00050000001378,NT,20,3373.95,292.0557760356564
Drosophila,EMGT00050000008570,NT,10,3181.2,55.645305282656146
Drosophila,EMGT00050000004751,NT,79,1543.0253164556962,229.18512138374217
Drosophila,EMGT00050000002140,NT,10,3587.4,131.33773258283395
