dataset,datatype,mean_hamming,median_hamming,sd_hamming
Drosophila,NT,0.3789770438985099,0.4282722513089005,0.1451167053659287
Drosophila,NT,0.22129954563924495,0.27509142624949207,0.09665050979687875
Drosophila,NT,0.17723099992685246,0.15306122448979592,0.14405564874782126
Drosophila,NT,0.3233258844231413,0.3488599928749555,0.10204740712437951
Drosophila,NT,0.40789241622574957,0.47271825396825395,0.16595582343699375
Drosophila,NT,0.4010425224510609,0.4456216889996884,0.1427355363362631
Drosophila,NT,0.42669735327963176,0.5248748896084781,0.18947538289339547
Drosophila,NT,0.42050385903596915,0.463302752293578,0.14729587444673664
Drosophila,NT,0.3819433191090945,0.39750445632798576,0.1503507031641763
Drosophila,NT,0.3416531729508829,0.3880407124681934,0.14465461947039773
Drosophila,NT,0.2878767080551569,0.2824296499656829,0.1533760940729874
Drosophila,NT,0.37478720956981826,0.4358178053830228,0.15541291645487415
Drosophila,NT,0.23511496878331048,0.2728643216080402,0.10550149544921057
Drosophila,NT,0.25062972787110716,0.29000884173297964,0.09212614293078357
Drosophila,NT,0.4769090909090909,0.5264864864864864,0.14137364496359028
Drosophila,NT,0.41581876638891535,0.552202776101388,0.17736795522181698
Drosophila,NT,0.24768293623255455,0.2968617472434266,0.09838264098579048
Drosophila,NT,0.2735930735930736,0.31043005437469107,0.09647985071774279
Drosophila,NT,0.20238095238095238,0.22464393612429867,0.07537075784897107
Drosophila,NT,0.2470461068247046,0.28413284132841327,0.09254110978563553
Drosophila,NT,0.2490076224338212,0.2958746316635414,0.10063147550804563
Drosophila,NT,0.3857172575708045,0.4597254004576659,0.1768291357999428
Drosophila,NT,0.2987673343605547,0.325,0.1363846243131348
Drosophila,NT,0.38035426731078903,0.357487922705314,0.1919988406993017
Drosophila,NT,0.23428878030711572,0.2045658817184972,0.14075941395989658
Drosophila,NT,0.31642463131824833,0.3619554204660588,0.10006502957224499
Drosophila,NT,0.2225132899610417,0.2498416719442685,0.08777052157223943
Drosophila,NT,0.3620646615935902,0.37444135765189035,0.10698211403951699
Drosophila,NT,0.2522871181283664,0.26967435549525104,0.09299365350813044
Drosophila,NT,0.2174419589900017,0.2179715302491103,0.1515393589545904
Drosophila,NT,0.4138078568650331,0.41977829638273045,0.11115022930687062
Drosophila,NT,0.30608821218491855,0.31885073580939033,0.12699286863241477
Drosophila,NT,0.42709922414639734,0.49081742888008645,0.16116715387347844
Drosophila,NT,0.21729683320674967,0.17798764983654194,0.16687859338030683
Drosophila,NT,0.19580235068361718,0.23970976253298154,0.0815996130856309
Drosophila,NT,0.3205064573309699,0.3671309192200557,0.10956296642651772
Drosophila,NT,0.23016758265901424,0.2338518323226997,0.08835559445017215
Drosophila,NT,0.3877164364241899,0.46826731916195136,0.14074889592389841
Drosophila,NT,0.43818224408526585,0.4736472241742797,0.1515190204494326
Drosophila,NT,0.22544200347938664,0.26944259012016025,0.08831789985539003
Drosophila,NT,0.25546674560884153,0.2921847246891652,0.0908669923579974
Drosophila,NT,0.25516659637283845,0.3107690144805286,0.10701621479464404
Drosophila,NT,0.36398787106244085,0.3923943063522413,0.1182514977510027
Drosophila,NT,0.25351495829710496,0.28940843074743183,0.11381230188104416
Drosophila,NT,0.2823122365147282,0.31742410949289346,0.12059079442194692
Drosophila,NT,0.30749300411522634,0.34414814814814815,0.0882580786886452
Drosophila,NT,0.4057813113466824,0.5167844522968198,0.1739853739534123
Drosophila,NT,0.30499359627799993,0.26452599388379205,0.23718166617945638
Drosophila,NT,0.2870025765817349,0.32493558545662754,0.11251246324737159
Drosophila,NT,0.45532789008171354,0.5467683661180249,0.17391584223198348
Drosophila,NT,0.3071996001683502,0.33617424242424243,0.08794125091584634
Drosophila,NT,0.25482900842069084,0.32041587901701324,0.12032924523413385
Drosophila,NT,0.31649956459318884,0.331921203134929,0.08283996644500742
Drosophila,NT,0.2562887789193398,0.2931749101961868,0.09399453932889035
Drosophila,NT,0.26614016055543505,0.30214797136038185,0.09079017731305322
Drosophila,NT,0.44895588376276596,0.363244176013805,0.23429242453493374
Drosophila,NT,0.306048166392994,0.3879310344827586,0.15952067588762087
Drosophila,NT,0.25346350534635054,0.276472481493402,0.10274143054397433
Drosophila,NT,0.28070313072038994,0.30911287538833276,0.13661231199057028
Drosophila,NT,0.23623529411764707,0.24029411764705882,0.09085590300500458
Drosophila,NT,0.2587606837606838,0.18143459915611815,0.1634239910833643
Drosophila,NT,0.35598095816874303,0.4031905195989061,0.10694521479261322
Drosophila,NT,0.27573922881692814,0.26622939791456446,0.12385543456797588
Drosophila,NT,0.33638481526836117,0.434768973447627,0.14394521644647773
Drosophila,NT,0.4353624903566606,0.4867858530897785,0.14954663375626487
Drosophila,NT,0.2752385476566033,0.2250033462722527,0.19835288526628786
Drosophila,NT,0.40343935734717296,0.3974102050254355,0.15276184101666
Drosophila,NT,0.2825702278257023,0.3127737226277372,0.11881733489198067
Drosophila,NT,0.39469264360094053,0.3379240846489755,0.1666530520776367
Drosophila,NT,0.34715720371179837,0.30754979157017137,0.1377918976076364
Drosophila,NT,0.33429803654522755,0.41807116104868913,0.1593393140932443
Drosophila,NT,0.3523042774635131,0.3799608035276825,0.17285464247871768
Drosophila,NT,0.33436466524582936,0.3698464025869038,0.10760501375565273
Drosophila,NT,0.2878602878602879,0.24175824175824176,0.13747278563479975
Drosophila,NT,0.2727117087671787,0.3378274268104776,0.12327925234621678
Drosophila,NT,0.45839853191868307,0.5289672544080605,0.13256845196508873
