dataset,datatype,mean_hamming,median_hamming,sd_hamming
Euteleostomi,AA,0.3308982683982684,0.23920265780730898,0.16887977241607965
Euteleostomi,AA,0.23968612077936058,0.20912124582869857,0.12597082649138033
Euteleostomi,AA,0.21460250231244826,0.18962075848303392,0.13677364552715912
Euteleostomi,AA,0.3578370011440878,0.3989501312335958,0.13361780843716065
Euteleostomi,AA,0.20812529663028,0.20285714285714285,0.10622504081332948
Euteleostomi,AA,0.26762402611708624,0.1797752808988764,0.19196159528082563
Euteleostomi,AA,0.15459591439383233,0.13271939328277357,0.08608201393943465
Euteleostomi,AA,0.32502184235517567,0.35644444444444445,0.18448187126832558
Euteleostomi,AA,0.27305888910748244,0.25678733031674206,0.1446145520255501
Euteleostomi,AA,0.2583563445101907,0.2164102564102564,0.1771950709171555
Euteleostomi,AA,0.3297485199065776,0.3281733746130031,0.10916071501317993
Euteleostomi,AA,0.30315090315090315,0.3700623700623701,0.18468662260970292
Euteleostomi,AA,0.2715123522922966,0.18384401114206128,0.18365890987191114
Euteleostomi,AA,0.23806132354182494,0.1350974930362117,0.20828279635021113
Euteleostomi,AA,0.25244952092242734,0.189010989010989,0.1410158430442326
Euteleostomi,AA,0.27498537192654837,0.18962962962962962,0.1646876826481217
Euteleostomi,AA,0.2156510306752633,0.24394184168012925,0.08870165356876489
Euteleostomi,AA,0.31369335993160447,0.27586206896551724,0.1676253971007456
Euteleostomi,AA,0.3788787221623042,0.3880597014925373,0.10776366157421181
Euteleostomi,AA,0.34557877204936027,0.3711484593837535,0.1603756308303647
Euteleostomi,AA,0.2660239206132926,0.3357487922705314,0.1506030806034315
Euteleostomi,AA,0.43540330353806983,0.49394518801784576,0.14327717579386262
Euteleostomi,AA,0.16708080935313585,0.18201284796573874,0.09756625027377547
Euteleostomi,AA,0.15814735763681378,0.14261931187569368,0.08018971572932801
Euteleostomi,AA,0.20734844587028237,0.1780515117581187,0.12364377441635295
Euteleostomi,AA,0.3049810585841332,0.32667876588021777,0.1423784143423447
Euteleostomi,AA,0.17457249984633352,0.17103448275862068,0.07700109695518018
