dataset,datatype,mean_hamming,median_hamming,sd_hamming
PANDIT,NT,0.5619592295072641,0.5846994535519126,0.12134442972516044
PANDIT,NT,0.479029905946521,0.4866920152091255,0.0970815975140436
PANDIT,NT,0.5332811776747703,0.5317139001349528,0.08805866466249596
PANDIT,NT,0.5745350109409191,0.5951859956236324,0.08443078356480704
PANDIT,NT,0.5766841853798376,0.6024844720496895,0.09124904887873285
PANDIT,NT,0.5428640438274349,0.5337186897880539,0.07801680092328613
PANDIT,NT,0.4996385721122902,0.5073446327683616,0.07486300571837669
PANDIT,NT,0.5473759920634921,0.5677083333333333,0.09647049877259171
PANDIT,NT,0.5279161841742487,0.5466666666666666,0.08217580204771732
PANDIT,NT,0.4979878633024593,0.4591584158415842,0.1664594133061889
PANDIT,NT,0.5820299449631623,0.6109550561797753,0.08456719687686348
PANDIT,NT,0.5453303591499369,0.5623800383877159,0.09377027955975313
PANDIT,NT,0.4539578710863957,0.4573405073020753,0.09906245203203341
PANDIT,NT,0.5733277357962496,0.5869017632241813,0.0719236321612405
PANDIT,NT,0.5415092027546994,0.5412935323383085,0.04584129574964336
PANDIT,NT,0.5527016742770168,0.5646879756468798,0.06394852097280186
PANDIT,NT,0.5344408907841743,0.5466417910447762,0.06064951092713462
PANDIT,NT,0.540901287038371,0.5380348652931854,0.06651233305848309
PANDIT,NT,0.6250982757080318,0.6666666666666666,0.12526199440629848
PANDIT,NT,0.5840957947661094,0.5983193277310924,0.07483672064930072
PANDIT,NT,0.5189220279079072,0.5186991869918699,0.0554947753494471
PANDIT,NT,0.5963518338201883,0.617332035053554,0.07481717354748284
PANDIT,NT,0.5043097102322157,0.5102389078498294,0.09381904422617439
PANDIT,NT,0.5215308835758394,0.5313935681470138,0.06991911286448024
PANDIT,NT,0.5947438752783964,0.5924276169265034,0.06602761151486677
PANDIT,NT,0.5438409023449094,0.5770258236865539,0.10876788814810404
PANDIT,NT,0.5776294146105467,0.6291727140783745,0.1508918579413557
PANDIT,NT,0.5478837325757052,0.5768512756689483,0.1012850606875585
PANDIT,NT,0.607725321888412,0.6437768240343348,0.10920444567007236
PANDIT,NT,0.5204413752032799,0.536281179138322,0.0890427758336217
PANDIT,NT,0.5232638786412065,0.5269899359560841,0.06078401482039645
PANDIT,NT,0.3526443141285291,0.3595294117647059,0.049580468474624176
PANDIT,NT,0.47873537521424847,0.5126760563380282,0.1077804419960672
PANDIT,NT,0.5547683923705722,0.5967302452316077,0.11312695037562026
PANDIT,NT,0.5803416896951973,0.59353507565337,0.08754589384803875
PANDIT,NT,0.5874852955144926,0.5936739659367397,0.08363077556285538
PANDIT,NT,0.5911648351648352,0.5906593406593407,0.13402076179530606
PANDIT,NT,0.5387610782017725,0.5519125683060109,0.06906965849540096
PANDIT,NT,0.5800905935145204,0.5846456692913385,0.05380822685241662
PANDIT,NT,0.5562671824014837,0.5697865353037767,0.07902913118106282
PANDIT,NT,0.48587269455690507,0.49,0.07411583025201679
PANDIT,NT,0.40362099601402296,0.39461172741679873,0.1162823000243853
PANDIT,NT,0.43332509218347653,0.43631778058007564,0.04387231346128652
PANDIT,NT,0.5763853173182296,0.6296670030272452,0.1260550373042635
PANDIT,NT,0.5861626878868258,0.6063218390804598,0.08125015025893868
PANDIT,NT,0.5550809822361547,0.5681818181818182,0.09046146122391822
PANDIT,NT,0.4396399563494679,0.43273350471293914,0.129121439987345
PANDIT,NT,0.5517825517825518,0.558974358974359,0.058681060814011546
PANDIT,NT,0.507093185901133,0.5121412803532008,0.12222930135264294
PANDIT,NT,0.4109778070753681,0.42882882882882883,0.07613187373637333
PANDIT,NT,0.5850678085377927,0.5871670702179177,0.07952968686755958
PANDIT,NT,0.5473338547847664,0.57123745819398,0.0912361167913453
PANDIT,NT,0.4972709571288916,0.49220103986135183,0.0659436084706542
PANDIT,NT,0.5494270695458155,0.6143024618991794,0.1301982827522592
PANDIT,NT,0.48547153965110623,0.485838779956427,0.08881941338551165
PANDIT,NT,0.5767050543825976,0.6103646833013435,0.1000130600406467
PANDIT,NT,0.4732544098677484,0.48702101359703337,0.06581145043837236
PANDIT,NT,0.4626366793261458,0.48407871198568875,0.12223984388069589
PANDIT,NT,0.6199830335168681,0.6621315192743764,0.1137796261669226
PANDIT,NT,0.5309378591001502,0.5310262529832935,0.06237426330535858
PANDIT,NT,0.3724815058091325,0.37174721189591076,0.07432511417031636
PANDIT,NT,0.5644312752812922,0.5898653998416469,0.0956672452848755
PANDIT,NT,0.5273679306886584,0.5382308845577212,0.07682854989729423
PANDIT,NT,0.5233107198444857,0.530920060331825,0.06756393129898956
PANDIT,NT,0.6119212655476391,0.6295133437990581,0.08718572648727858
PANDIT,NT,0.5523413193825178,0.5767790262172285,0.09597771203930866
PANDIT,NT,0.5516333938294011,0.5537037037037037,0.05166390787524148
PANDIT,NT,0.41234705228031143,0.4166666666666667,0.06402747225408441
PANDIT,NT,0.4993435588715617,0.5109780439121756,0.07928339639833305
PANDIT,NT,0.5147561020778547,0.5233082706766917,0.06107601495390105
PANDIT,NT,0.5506129142553219,0.583547557840617,0.09459133391187784
PANDIT,NT,0.5317845451840095,0.5404721753794266,0.06868390470396846
PANDIT,NT,0.525515827245931,0.5467128027681661,0.08787012026078979
PANDIT,NT,0.5168247021638707,0.5295404814004376,0.10185176700842524
PANDIT,NT,0.44810345596432555,0.456231884057971,0.09459749635306972
PANDIT,NT,0.5402219140083218,0.558252427184466,0.09253616972833902
PANDIT,NT,0.5726043392504931,0.6912820512820513,0.16423701373691846
PANDIT,NT,0.6090617275473771,0.6238670694864048,0.07643029808856287
PANDIT,NT,0.4329741979469747,0.32748538011695905,0.1959331260614858
PANDIT,NT,0.5722933026933787,0.5864297253634895,0.08057976131164989
PANDIT,NT,0.5700735578784359,0.5975609756097562,0.08349864555773369
PANDIT,NT,0.5634888285024154,0.5859375,0.07868770386020005
PANDIT,NT,0.5902260454517876,0.6018957345971564,0.07527911696761105
PANDIT,NT,0.5373347287633002,0.5476190476190477,0.0730915459900019
PANDIT,NT,0.2670716292486323,0.26683291770573564,0.0421425304697751
PANDIT,NT,0.5623762701561563,0.5668202764976958,0.06068887074747725
PANDIT,NT,0.6046469622331692,0.6149425287356322,0.06527552375709672
PANDIT,NT,0.47827358453029883,0.4910277324632953,0.08540271753531767
PANDIT,NT,0.5007318729835286,0.48741721854304637,0.06589265827773319
PANDIT,NT,0.5356022673594709,0.5335380255077941,0.0594278792766613
PANDIT,NT,0.5102897599084083,0.5163147792706334,0.0622038078206577
PANDIT,NT,0.5556614044637996,0.562874251497006,0.07734089838292298
PANDIT,NT,0.5233561042188771,0.5332606324972737,0.0710242853383717
PANDIT,NT,0.5635813515560351,0.5653153153153153,0.06193140371243804
PANDIT,NT,0.5575141203883719,0.5745781164942841,0.09025389597426571
PANDIT,NT,0.5455776358439214,0.5498721227621484,0.04668385538152851
PANDIT,NT,0.5550083497994277,0.5834123222748815,0.11797858865914913
PANDIT,NT,0.5491482196251609,0.5839753466872111,0.09177590297475267
PANDIT,NT,0.5361768018018018,0.5259009009009008,0.11114675510225694
PANDIT,NT,0.5577797906602254,0.5891304347826087,0.08811839794498111
PANDIT,NT,0.5546252751865272,0.5677879714576962,0.06957191988691756
PANDIT,NT,0.5666929259170844,0.5746478873239437,0.07339470961446302
PANDIT,NT,0.5560474069600664,0.563297350343474,0.0692766718915976
PANDIT,NT,0.5596010113639521,0.5762273901808785,0.07656702200926369
PANDIT,NT,0.5369043299467827,0.5577830188679245,0.12215933443121121
PANDIT,NT,0.5827659574468085,0.6180851063829788,0.09752684060269558
PANDIT,NT,0.5519592010199745,0.5730071033938438,0.09252464634795558
PANDIT,NT,0.3206824986669948,0.3851851851851852,0.1106717584934918
PANDIT,NT,0.5149630377474901,0.5159010600706714,0.06299601546015529
PANDIT,NT,0.49464316410374787,0.5025210084033613,0.07871478159713734
PANDIT,NT,0.4801377173413611,0.4552683896620278,0.09392531417768109
PANDIT,NT,0.5331760204081633,0.5653061224489796,0.11093311833511497
PANDIT,NT,0.42961177549107465,0.42786069651741293,0.0606852988445488
PANDIT,NT,0.5163296077860298,0.5219164118246687,0.053331804181759986
PANDIT,NT,0.49956006281391974,0.5004135649296939,0.08946072287857507
PANDIT,NT,0.5726369997908957,0.569101678183613,0.14594286591371525
PANDIT,NT,0.4638174784951509,0.4379496402877698,0.10595272362305154
PANDIT,NT,0.5998814298446652,0.6183035714285714,0.07377079317887247
PANDIT,NT,0.5485938940072576,0.5503963759909399,0.06974788689789287
PANDIT,NT,0.4732263380256999,0.4902135231316726,0.08398606349146748
PANDIT,NT,0.5909301955589323,0.604735883424408,0.07506623156165929
PANDIT,NT,0.5378457137749173,0.5469026548672566,0.0679195339094919
PANDIT,NT,0.48362314569211123,0.5008547008547009,0.0808833544535077
PANDIT,NT,0.5341665712759462,0.5684523809523809,0.12078220071473011
PANDIT,NT,0.5667877392982582,0.5813464235624124,0.07011286085234396
PANDIT,NT,0.5500567511284926,0.5795631825273011,0.0859659863034701
PANDIT,NT,0.5152639022628791,0.5205223880597015,0.08089140717645955
PANDIT,NT,0.5822763336465184,0.5857605177993528,0.056769136172835404
PANDIT,NT,0.4875788524726285,0.4839685420447671,0.10127339220909018
PANDIT,NT,0.4749137709137709,0.48416988416988416,0.0783241272680945
PANDIT,NT,0.4349112655936002,0.44888287068381855,0.07054865590210627
PANDIT,NT,0.559988618040406,0.5893958076448829,0.1323993910698258
PANDIT,NT,0.5263225957992054,0.5363079615048119,0.06201336376093519
PANDIT,NT,0.4820897196093999,0.48746518105849584,0.062323754310614786
PANDIT,NT,0.35476891649731157,0.35390946502057613,0.06289821002202459
PANDIT,NT,0.5945946725508011,0.6254705144291092,0.1091310637070596
PANDIT,NT,0.44947179233648227,0.4604767879548306,0.08781082262070425
PANDIT,NT,0.5251620947630923,0.5374064837905237,0.0683708402477461
PANDIT,NT,0.4851329385812144,0.47413793103448276,0.10321492982309614
PANDIT,NT,0.5463188188188188,0.54,0.08403200820051687
PANDIT,NT,0.6100273889227024,0.6202830188679245,0.09312688569371276
PANDIT,NT,0.48246153846153844,0.49382716049382713,0.08988792729136041
PANDIT,NT,0.537277876727418,0.5412844036697247,0.08650884940165061
PANDIT,NT,0.3835921733789594,0.41338813857897827,0.1575109276746668
PANDIT,NT,0.5058030881034138,0.5062240663900415,0.04722652851408179
PANDIT,NT,0.5786234991237753,0.6134301270417423,0.10210933913779952
PANDIT,NT,0.5730448166647694,0.5754884547069272,0.04330749039499836
PANDIT,NT,0.5854859611231101,0.6025917926565875,0.06997137313056248
PANDIT,NT,0.4945123547536098,0.49868766404199477,0.07576078209340267
PANDIT,NT,0.47907986823975984,0.44896115627822947,0.12290781774988618
PANDIT,NT,0.5672232848351995,0.6109260493004663,0.11852552001975628
PANDIT,NT,0.4553885684040904,0.45161290322580644,0.10293426692616416
PANDIT,NT,0.5281213388500838,0.48626373626373626,0.09961622144641256
PANDIT,NT,0.5698959291939587,0.5851648351648352,0.0700988420940158
PANDIT,NT,0.5297996948668734,0.5441458733205374,0.06813191246995505
PANDIT,NT,0.4884851783810755,0.49295774647887325,0.05524756254258133
PANDIT,NT,0.5461538461538461,0.5625,0.09222785872136122
PANDIT,NT,0.5662868958472349,0.5908607863974495,0.16718518293054832
PANDIT,NT,0.6174682306940371,0.6319648093841642,0.07535417004265971
PANDIT,NT,0.5157006604403356,0.5161839863713799,0.10008892934807195
PANDIT,NT,0.4850553436480623,0.49740932642487046,0.11624440758732509
PANDIT,NT,0.5730685980685981,0.5822510822510822,0.0658731493972616
PANDIT,NT,0.5277244801054325,0.5328798185941043,0.07226206729312636
PANDIT,NT,0.5360331983091275,0.5429815016322089,0.061814716578905575
PANDIT,NT,0.573934811827957,0.6287499999999999,0.11601539966111366
PANDIT,NT,0.5332243916242219,0.5730263157894737,0.1193605300204807
PANDIT,NT,0.5353955466157283,0.5419211549139367,0.05143020524651104
PANDIT,NT,0.541345417699823,0.5508637236084453,0.06736992604078217
PANDIT,NT,0.4172925839592506,0.4393939393939394,0.07465830597214436
PANDIT,NT,0.5832273974505922,0.5929978118161926,0.07402850988045037
PANDIT,NT,0.5719875253510887,0.5830367734282325,0.07159897744310419
PANDIT,NT,0.5772908406423966,0.5948275862068966,0.092726825775071
PANDIT,NT,0.5522588743984936,0.5557570262919311,0.06901257755254055
PANDIT,NT,0.5546818923327895,0.564437194127243,0.07067084314587103
PANDIT,NT,0.5301114206128134,0.5445682451253482,0.08696644976560246
PANDIT,NT,0.5355217164956121,0.5580098170459615,0.07945393259236873
PANDIT,NT,0.5891176903814995,0.5972602739726027,0.08276143293566807
PANDIT,NT,0.5722860791826309,0.5770609318996416,0.07177996261402303
PANDIT,NT,0.5398229847048744,0.5520896426408237,0.059483024603916454
PANDIT,NT,0.4815378421900161,0.481280193236715,0.08823262451943442
PANDIT,NT,0.5258644426793752,0.5504368546465449,0.09019107957222489
PANDIT,NT,0.48371159679551995,0.48938321536905965,0.08039487111544621
PANDIT,NT,0.5283554548043017,0.5350877192982456,0.060401599760058204
PANDIT,NT,0.40146255563320704,0.3916761687571266,0.07847203662275205
PANDIT,NT,0.5647894097397995,0.5707831325301205,0.07806433413779189
PANDIT,NT,0.5676699554556429,0.5881104033970276,0.09007538178724057
PANDIT,NT,0.5994343499026121,0.609181141439206,0.05479175657451222
PANDIT,NT,0.5342745883400088,0.5323765020026703,0.07832737525969068
PANDIT,NT,0.41009093575828687,0.4414784394250513,0.10434886954790201
PANDIT,NT,0.5623235725499156,0.5867875647668394,0.11500071953534657
PANDIT,NT,0.4792565856129686,0.52,0.12028605490073448
PANDIT,NT,0.5645061728395061,0.535031847133758,0.11880294441225309
PANDIT,NT,0.5394825746799431,0.57125,0.1022141641940103
PANDIT,NT,0.43538518575000723,0.4565619223659889,0.10785472219228714
PANDIT,NT,0.4045033209020347,0.4008574490889603,0.050884601765440095
PANDIT,NT,0.5671659523272427,0.5993006993006993,0.09937826921549126
PANDIT,NT,0.5228982597054886,0.5381526104417671,0.06963005037941357
PANDIT,NT,0.5753482881101684,0.5860349127182045,0.07149646057630726
PANDIT,NT,0.5531173807035876,0.5555555555555556,0.06338161925130076
PANDIT,NT,0.49669020735540803,0.4953271028037383,0.09970895610725035
PANDIT,NT,0.37355752751956955,0.37925445705024313,0.04482743959564458
PANDIT,NT,0.4945261848871004,0.504225352112676,0.07474882862886527
PANDIT,NT,0.4980507195381901,0.5172413793103449,0.0919114816380932
PANDIT,NT,0.5378814814814815,0.5659259259259259,0.10061130593835864
PANDIT,NT,0.5534980124929018,0.567291311754685,0.08736955476425635
PANDIT,NT,0.46087644025461283,0.4720812182741117,0.06530091668784499
PANDIT,NT,0.48541998602375963,0.486,0.06097686474267071
PANDIT,NT,0.5836056644880174,0.5902777777777778,0.06187594633015594
PANDIT,NT,0.5740287226001511,0.5827664399092971,0.07407840654899425
PANDIT,NT,0.6001333333333333,0.6174999999999999,0.09653895765749924
PANDIT,NT,0.5649922411882066,0.5720461095100865,0.07566101218275721
PANDIT,NT,0.5556178774928775,0.5609375,0.0699236545916071
PANDIT,NT,0.5326194503171248,0.548,0.07529835542878435
PANDIT,NT,0.5046622503262069,0.49382716049382713,0.06370984443968095
PANDIT,NT,0.548435230237642,0.5803680981595092,0.09751642418697071
PANDIT,NT,0.5905134899912968,0.608355091383812,0.08037346570886961
PANDIT,NT,0.5346358183376179,0.5424164524421594,0.06983109392738764
PANDIT,NT,0.5084644373990549,0.5203784570596798,0.06719040241143107
PANDIT,NT,0.5612831805164489,0.5898491083676269,0.08490978551919737
PANDIT,NT,0.49270030004711485,0.508505467800729,0.11140449251603002
PANDIT,NT,0.5406970033835705,0.5650319829424307,0.08146624600538806
PANDIT,NT,0.4718259840189405,0.4785932721712538,0.06504011362148558
PANDIT,NT,0.435040816091557,0.4381679389312977,0.057151862825822804
PANDIT,NT,0.5481955454888637,0.5050962627406569,0.11379322758499365
PANDIT,NT,0.4363935980040938,0.4369602763385147,0.0640268508064259
PANDIT,NT,0.554087382605145,0.5594936708860759,0.06947749982155153
PANDIT,NT,0.5561689291101056,0.580316742081448,0.11169778471018023
PANDIT,NT,0.506828746554774,0.5228310502283106,0.08650373675532662
PANDIT,NT,0.4479568108288134,0.4498525073746313,0.10025379590891388
PANDIT,NT,0.4828946071182096,0.46557971014492755,0.1107079390108168
PANDIT,NT,0.5442566318513726,0.5673352435530086,0.08162149132582386
PANDIT,NT,0.5248910982421975,0.5436708860759494,0.07547825902613056
PANDIT,NT,0.5621312044429018,0.5988805970149254,0.10582894677601848
PANDIT,NT,0.5834866267872009,0.595536959553696,0.09931827549951065
PANDIT,NT,0.5847820609725372,0.6003401360544217,0.08412528510309515
PANDIT,NT,0.5177327911687135,0.5366695427092321,0.08781914892110687
