name,datatype,AIC,AICc,BIC
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,GTR+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,GTR+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF05222,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
