dataname,dataset,datatype,mean_hamming,median_hamming,sd_hamming
EMGT00050000000002,Drosophila,AA,0.14545800147773905,0.15826557733991115,0.06088834386294501
EMGT00050000000002,Drosophila,NT,0.21856829949974635,0.2347417840375587,0.07965815932169606
EMGT00050000000018,Drosophila,AA,0.28378401557340804,0.3302752293577982,0.10142964240877597
EMGT00050000000018,Drosophila,NT,0.3036831177791064,0.3487654320987654,0.11050183031309027
EMGT00050000000026,Drosophila,AA,0.41889685313662134,0.5045592705167173,0.16408149376707845
EMGT00050000000026,Drosophila,NT,0.40340237398911744,0.4513089005235602,0.12383214041773238
EMGT00050000000031,Drosophila,AA,0.5663231764328129,0.7261118717987727,0.22495365079830157
EMGT00050000000031,Drosophila,NT,0.5000490795013067,0.6207904371678775,0.17822995388342652
EMGT00050000000040,Drosophila,AA,0.422959961237697,0.47448015122873344,0.19255840649442418
EMGT00050000000040,Drosophila,NT,0.4403189488799679,0.4729381443298969,0.17054717469939037
EMGT00050000000052,Drosophila,AA,0.5724439138107424,0.7513064576334454,0.24566272026859404
EMGT00050000000052,Drosophila,NT,0.5034134708863274,0.5915515660732815,0.18278966894239865
EMGT00050000000053,Drosophila,AA,0.2997757846890657,0.3388543823326432,0.09121482341449161
EMGT00050000000053,Drosophila,NT,0.3354878198904189,0.37604456824512533,0.09587944030503115
EMGT00050000000054,Drosophila,AA,0.3511042439752354,0.4059097978227061,0.14511687070297688
EMGT00050000000054,Drosophila,NT,0.3969489227887367,0.4391008886565604,0.14151933695356836
EMGT00050000000058,Drosophila,AA,0.16940740255843298,0.18515497553017946,0.05697479931165184
EMGT00050000000058,Drosophila,NT,0.24862431925553072,0.27207062600321025,0.07355825021918828
EMGT00050000000059,Drosophila,AA,0.1542782999087541,0.16299559471365638,0.045981000159016495
EMGT00050000000059,Drosophila,NT,0.23303367016901647,0.25569007263922516,0.06634169113655311
EMGT00050000000076,Drosophila,AA,0.1892219558995406,0.22756005056890014,0.08044149060198652
EMGT00050000000076,Drosophila,NT,0.24543721483358832,0.28005115089514065,0.09493916086713161
EMGT00050000000079,Drosophila,AA,0.6623606932440321,0.7300771208226221,0.15990989233438155
EMGT00050000000079,Drosophila,NT,0.5839950199838626,0.6128571428571429,0.13552976364537236
EMGT00050000000081,Drosophila,AA,0.5936285352591321,0.60727969348659006,0.1684722091954922
EMGT00050000000081,Drosophila,NT,0.49507822600659884,0.5112517580872011,0.1651488043045893
EMGT00050000000087,Drosophila,AA,0.26748464007162137,0.30134680134680136,0.09115752921328636
EMGT00050000000087,Drosophila,NT,0.2985636438458534,0.34438202247191013,0.10262001419428521
EMGT00050000000089,Drosophila,AA,0.5889279213601792,0.6666666666666666,0.18214276496638776
EMGT00050000000089,Drosophila,NT,0.5267727600329282,0.5574257425742575,0.14968722459899156
EMGT00050000000090,Drosophila,AA,0.22642858965617704,0.25163398692810457,0.07263401338211313
EMGT00050000000090,Drosophila,NT,0.2801284826871615,0.30029199323805134,0.08358844096662227
EMGT00050000000095,Drosophila,AA,0.3790932071487445,0.44047005098124126,0.1635988255033569
EMGT00050000000095,Drosophila,NT,0.39692309168037915,0.45961898802105894,0.16886838012816668
EMGT00050000000109,Drosophila,AA,0.19501539487442074,0.1297037630104083,0.14460384551402167
EMGT00050000000109,Drosophila,NT,0.2869278488280414,0.24336638970785313,0.13640537246187248
EMGT00050000000136,Drosophila,AA,0.508732081339609,0.5461805555555556,0.15422774826631463
EMGT00050000000136,Drosophila,NT,0.476513337982307,0.5197535338890903,0.1389111252196283
EMGT00050000000145,Drosophila,AA,0.3797345654887338,0.4596363636363636,0.15282216819675637
EMGT00050000000145,Drosophila,NT,0.34649576819780104,0.41408852927177536,0.13820801466889568
EMGT00050000000146,Drosophila,AA,0.38990744626148494,0.42910216718266253,0.13271574387546892
EMGT00050000000146,Drosophila,NT,0.3865832074110337,0.4215568862275449,0.12350797705529602
EMGT00050000000148,Drosophila,AA,0.5824068740215834,0.7744207178555202,0.2438926960895559
EMGT00050000000148,Drosophila,NT,0.5462218788765518,0.6963836756897388,0.20879518296538577
EMGT00050000000150,Drosophila,AA,0.48755828780799515,0.6253140171071896,0.19273807526190148
EMGT00050000000150,Drosophila,NT,0.4721833058921158,0.5776391020432728,0.16238248593585494
EMGT00050000000152,Drosophila,AA,0.21194337028646168,0.2176991150442478,0.09093854211964528
EMGT00050000000152,Drosophila,NT,0.2409510510025857,0.2766845557543232,0.08214868344962253
EMGT00050000000156,Drosophila,AA,0.7109152302580969,0.7509025270758123,0.14301588102537
EMGT00050000000156,Drosophila,NT,0.6109742981992172,0.6384522370012092,0.12297762443422852
EMGT00050000000160,Drosophila,AA,0.42880026221977885,0.5350500715307582,0.17170775421292905
EMGT00050000000160,Drosophila,NT,0.402259046086219,0.47053872053872053,0.13443699039490434
EMGT00050000000162,Drosophila,AA,0.2588520349510593,0.3329577464788732,0.10888374682594798
EMGT00050000000162,Drosophila,NT,0.299894959008004,0.36793141189346956,0.11669482188216551
EMGT00050000000164,Drosophila,AA,0.5667454448804912,0.6194770063119928,0.1821779981951132
EMGT00050000000164,Drosophila,NT,0.49023656596581994,0.5482035928143713,0.1586437301605238
EMGT00050000000169,Drosophila,AA,0.20538435141460828,0.2609511889862328,0.09906649345642705
EMGT00050000000169,Drosophila,NT,0.26841057640200994,0.32293423271500843,0.11334106985040654
EMGT00050000000170,Drosophila,AA,0.626006993812012,0.6504854368932039,0.17494033940860276
EMGT00050000000170,Drosophila,NT,0.5480682293818206,0.5384615384615384,0.1667440517200654
EMGT00050000000171,Drosophila,AA,0.5674210645686573,0.6552901023890785,0.2021844631836216
EMGT00050000000171,Drosophila,NT,0.4569297257934959,0.5313415348564734,0.16944256723921866
EMGT00050000000172,Drosophila,AA,0.6288417676680217,0.7455526944320048,0.2351075226280982
EMGT00050000000172,Drosophila,NT,0.5408495446814758,0.6414640820413315,0.21442927247792049
EMGT00050000000173,Drosophila,AA,0.7643580575818589,0.7900552486187845,0.12870221522249958
EMGT00050000000173,Drosophila,NT,0.6313177155633576,0.6440410418310971,0.10926893399010607
EMGT00050000000182,Drosophila,AA,0.5209434350179606,0.5884476534296029,0.15988331374430637
EMGT00050000000182,Drosophila,NT,0.45042804113584495,0.5057821059038344,0.14378606366855218
EMGT00050000000184,Drosophila,AA,0.561819888533267,0.6390646976090013,0.19665213969619166
EMGT00050000000184,Drosophila,NT,0.5116507085226313,0.5520833333333334,0.16601507680762506
EMGT00050000000185,Drosophila,AA,0.2381321804415295,0.25797032180010904,0.12965315421592682
EMGT00050000000185,Drosophila,NT,0.28867617747614416,0.3207866479925303,0.13486266659939594
EMGT00050000000186,Drosophila,AA,0.44250382251250364,0.4536082474226804,0.12835351052399283
EMGT00050000000186,Drosophila,NT,0.4462725522442003,0.45774647887323944,0.11708543188567586
EMGT00050000000196,Drosophila,AA,0.6145961122318775,0.7471698113207547,0.20329724119600065
EMGT00050000000196,Drosophila,NT,0.5013711885057637,0.5763152197445335,0.15653048855522153
EMGT00050000000197,Drosophila,AA,0.2122541422106422,0.24439288476411447,0.08906137733730812
EMGT00050000000197,Drosophila,NT,0.2251369754801635,0.26700251889168763,0.088994697643484
EMGT00050000000209,Drosophila,AA,0.6766417419878704,0.7849666983824929,0.2201426967478268
EMGT00050000000209,Drosophila,NT,0.5934315850828322,0.6642599277978339,0.18606578953032157
EMGT00050000000214,Drosophila,AA,0.4710733333769047,0.4700460829493088,0.04226310033432212
EMGT00050000000214,Drosophila,NT,0.45638930654881876,0.4667749357152524,0.030934814447964
EMGT00050000000254,Drosophila,AA,0.6812782616214075,0.765625,0.23046421243895224
EMGT00050000000254,Drosophila,NT,0.5837390683089919,0.6575682382133995,0.23602449435070708
EMGT00050000000265,Drosophila,AA,0.35022613937589325,0.41467436108821104,0.12404871538883204
EMGT00050000000265,Drosophila,NT,0.3303254574866721,0.3699360341151386,0.10879206307790966
EMGT00050000000269,Drosophila,AA,0.40429167087084783,0.44043151969981237,0.10300037918037479
EMGT00050000000269,Drosophila,NT,0.3983526080370254,0.42958726232802597,0.10347471254796199
EMGT00050000000270,Drosophila,AA,0.2950446024756701,0.34966592427616927,0.11682577535642075
EMGT00050000000270,Drosophila,NT,0.3185158400281657,0.35598824393828066,0.11034391759815089
EMGT00050000000271,Drosophila,AA,0.1783665634250513,0.20902612826603326,0.0664900429106956
EMGT00050000000271,Drosophila,NT,0.2464477196123297,0.28425732217573224,0.07932693265990656
EMGT00050000000273,Drosophila,AA,0.3705535707764709,0.41808336637589216,0.1312873245299488
EMGT00050000000273,Drosophila,NT,0.3619830061196846,0.41172191313763096,0.12276614336755859
EMGT00050000000274,Drosophila,AA,0.4074774762561954,0.4824396699651533,0.16212253220477482
EMGT00050000000274,Drosophila,NT,0.38599189999391,0.4573128849292244,0.14496888239570793
EMGT00050000000289,Drosophila,AA,0.23301356776851892,0.2921190531737343,0.10541270702193557
EMGT00050000000289,Drosophila,NT,0.2698848004572111,0.3301849098130289,0.10706274058246586
EMGT00050000000300,Drosophila,AA,0.5927925543818093,0.6647882357354541,0.16751030670046127
EMGT00050000000300,Drosophila,NT,0.49388890165242927,0.5600490799781628,0.15005228142272578
EMGT00050000000301,Drosophila,AA,0.5410576054276369,0.6311865963735123,0.18294443735571173
EMGT00050000000301,Drosophila,NT,0.46143552343497757,0.5373303396663656,0.15880186818759834
EMGT00050000000302,Drosophila,AA,0.4075178124800017,0.4418604651162791,0.13485250078032252
EMGT00050000000302,Drosophila,NT,0.38972082575577904,0.440754039497307,0.13265149801492074
EMGT00050000000303,Drosophila,AA,0.3423765095474354,0.39799683711122824,0.13574744280912499
EMGT00050000000303,Drosophila,NT,0.34388332398346855,0.40014027704716815,0.1262598511211164
EMGT00050000000307,Drosophila,AA,0.2470700915337699,0.26460352122287434,0.09901886798159289
EMGT00050000000307,Drosophila,NT,0.28327899831530184,0.32567469000729393,0.10536548028874758
