name,datatype,AIC,AICc,BIC
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF07500,AA,LG+I+G4,LG+I+G4,LG+I+G4
