dataset,species,datatype,ref_num,est_num,sp,tc
ENSGT00390000008837,Euteleostomi,NT,32,50,0.9947043676820677,0.9174454828660437
ENSGT00390000008837,Euteleostomi,NT,7,50,0.993087225608428,0.9096573208722741
ENSGT00390000008837,Euteleostomi,NT,30,50,0.9956824696876534,0.9258391881342701
ENSGT00390000008837,Euteleostomi,NT,5,50,0.9927117610395877,0.9057632398753894
ENSGT00390000008837,Euteleostomi,NT,48,50,0.9949537003684201,0.9174454828660437
ENSGT00390000008837,Euteleostomi,NT,29,50,0.9952619498383233,0.9250585480093677
ENSGT00390000008837,Euteleostomi,NT,14,50,0.994061339909136,0.9149102263856362
ENSGT00390000008837,Euteleostomi,NT,10,50,0.9930930040490442,0.9110070257611241
ENSGT00390000008837,Euteleostomi,NT,34,50,0.9951455578586833,0.9227166276346604
ENSGT00390000008837,Euteleostomi,NT,1,50,0.992787615808608,0.9052059052059052
ENSGT00390000008837,Euteleostomi,NT,36,50,0.9937450046330196,0.912568306010929
ENSGT00390000008837,Euteleostomi,NT,3,50,0.9952932069028497,0.9242779078844653
ENSGT00390000008837,Euteleostomi,NT,12,50,0.9936400495928693,0.9117876658860266
ENSGT00390000008837,Euteleostomi,NT,49,50,0.9954430540919531,0.9227166276346604
ENSGT00390000008837,Euteleostomi,NT,31,50,0.9955243588153878,0.9239720713731575
ENSGT00390000008837,Euteleostomi,NT,4,50,0.9951346107772392,0.9242779078844653
ENSGT00390000008837,Euteleostomi,NT,15,50,0.9936266247583178,0.9139280125195618
ENSGT00390000008837,Euteleostomi,NT,28,50,0.99580473943813,0.927400468384075
ENSGT00390000008837,Euteleostomi,NT,17,50,0.9932313002102653,0.9164715066354411
ENSGT00390000008837,Euteleostomi,NT,33,50,0.9956631682667252,0.9234972677595629
ENSGT00390000008837,Euteleostomi,NT,6,50,0.9946934535279235,0.9225352112676056
ENSGT00390000008837,Euteleostomi,NT,37,50,0.9944050671090333,0.9168609168609169
ENSGT00390000008837,Euteleostomi,NT,2,50,0.9936400602485336,0.917057902973396
ENSGT00390000008837,Euteleostomi,NT,13,50,0.9945874138526021,0.9352068696330992
ENSGT00390000008837,Euteleostomi,NT,11,50,0.9945426974858206,0.9149102263856362
ENSGT00390000008837,Euteleostomi,NT,35,50,0.9948312923779573,0.9248826291079812
ENSGT00390000008837,Euteleostomi,NT,39,50,0.9958475699570514,0.9281811085089774
ENSGT00390000008837,Euteleostomi,NT,41,50,0.9929690484008229,0.9117876658860266
ENSGT00390000008837,Euteleostomi,NT,20,50,0.9938519681240462,0.9117876658860266
ENSGT00390000008837,Euteleostomi,NT,22,50,0.9925128583156025,0.9018691588785047
ENSGT00390000008837,Euteleostomi,NT,43,50,0.9931203535997507,0.9094457455113193
ENSGT00390000008837,Euteleostomi,NT,47,50,0.9955939904039457,0.9250585480093677
ENSGT00390000008837,Euteleostomi,NT,26,50,0.9957594958977186,0.927400468384075
ENSGT00390000008837,Euteleostomi,NT,24,50,0.9956246407630653,0.9287949921752738
ENSGT00390000008837,Euteleostomi,NT,19,50,0.9933771727748691,0.9114219114219114
ENSGT00390000008837,Euteleostomi,NT,8,50,0.9961235503117248,0.9258391881342701
ENSGT00390000008837,Euteleostomi,NT,45,50,0.9956909622456587,0.9244548286604362
ENSGT00390000008837,Euteleostomi,NT,23,50,0.993375142206577,0.9080996884735203
ENSGT00390000008837,Euteleostomi,NT,42,50,0.995116132177736,0.927400468384075
ENSGT00390000008837,Euteleostomi,NT,40,50,0.9950772179746891,0.9203747072599532
ENSGT00390000008837,Euteleostomi,NT,38,50,0.995682202026701,0.9250585480093677
ENSGT00390000008837,Euteleostomi,NT,21,50,0.9931630432415317,0.912568306010929
ENSGT00390000008837,Euteleostomi,NT,18,50,0.9935647628461809,0.9164715066354411
ENSGT00390000008837,Euteleostomi,NT,25,50,0.9924301320286844,0.9047619047619048
ENSGT00390000008837,Euteleostomi,NT,44,50,0.9948620839896772,0.9188134270101483
ENSGT00390000008837,Euteleostomi,NT,9,50,0.99541277486911,0.9250585480093677
ENSGT00390000008837,Euteleostomi,NT,46,50,0.9965101746085465,0.9461358313817331
ENSGT00390000008837,Euteleostomi,NT,27,50,0.9956033276643516,0.9250585480093677
