name,number,Model,ic_type
ENSGT00390000000018.Euteleostomi.003.aa.fas,1,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,10,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,11,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,12,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,13,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,14,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,15,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,16,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,17,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,18,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,19,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,2,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,20,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,21,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,22,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,23,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,24,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,25,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,26,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,27,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,28,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,29,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,3,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,30,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,31,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,32,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,33,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,34,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,35,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,36,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,37,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,38,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,39,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,4,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,40,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,41,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,42,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,43,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,44,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,45,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,46,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,47,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,48,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,49,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,5,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,50,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,6,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,7,JTT+F+G4,AIC
ENSGT00390000000018.Euteleostomi.003.aa.fas,8,JTT+F+G4,AIC
