dataset,species,datatype,ref_num,est_num,sp,tc
EMGT00050000000018,Drosophila,AA,13,37,0.9545768433975294,0.8126888217522659
EMGT00050000000018,Drosophila,AA,13,35,0.922964781707972,0.7522658610271903
EMGT00050000000018,Drosophila,AA,13,11,0.937773344586818,0.8066465256797583
EMGT00050000000018,Drosophila,AA,13,28,0.9412261183150464,0.8126888217522659
EMGT00050000000018,Drosophila,AA,13,8,0.9561881378040359,0.8308157099697885
EMGT00050000000018,Drosophila,AA,13,15,0.9505869715337988,0.7764350453172205
EMGT00050000000018,Drosophila,AA,13,50,0.9622496739047034,0.7643504531722054
EMGT00050000000018,Drosophila,AA,13,31,0.9323256349267245,0.7885196374622356
EMGT00050000000018,Drosophila,AA,13,49,0.961175477633699,0.8610271903323263
EMGT00050000000018,Drosophila,AA,13,33,0.9551139415330315,0.8459214501510574
EMGT00050000000018,Drosophila,AA,13,17,0.9900253203406737,0.9546827794561934
EMGT00050000000018,Drosophila,AA,13,34,0.9584132586511164,0.7945619335347432
EMGT00050000000018,Drosophila,AA,13,10,0.9314048952658636,0.7734138972809668
EMGT00050000000018,Drosophila,AA,13,12,0.9479014808562879,0.824773413897281
EMGT00050000000018,Drosophila,AA,13,36,0.9696155911915906,0.7915407854984894
EMGT00050000000018,Drosophila,AA,13,32,0.9376966162817464,0.797583081570997
EMGT00050000000018,Drosophila,AA,13,16,0.9523517225504489,0.7462235649546828
EMGT00050000000018,Drosophila,AA,13,14,0.951124069669301,0.7945619335347432
EMGT00050000000018,Drosophila,AA,13,9,0.9290263178086396,0.7734138972809668
EMGT00050000000018,Drosophila,AA,13,29,0.9437581523824139,0.8157099697885196
EMGT00050000000018,Drosophila,AA,13,48,0.9290263178086396,0.7371601208459214
EMGT00050000000018,Drosophila,AA,13,30,0.9612522059387708,0.8640483383685801
EMGT00050000000018,Drosophila,AA,13,44,0.9589503567866186,0.8580060422960725
EMGT00050000000018,Drosophila,AA,13,25,0.9492825903475792,0.8338368580060423
EMGT00050000000018,Drosophila,AA,13,18,0.9645515230568557,0.797583081570997
EMGT00050000000018,Drosophila,AA,13,5,0.9686948515307297,0.7824773413897281
EMGT00050000000018,Drosophila,AA,13,7,0.9271848384869178,0.7583081570996979
EMGT00050000000018,Drosophila,AA,13,27,0.9940919205094759,0.9637462235649547
EMGT00050000000018,Drosophila,AA,13,46,0.9637842400061383,0.8610271903323263
EMGT00050000000018,Drosophila,AA,13,42,0.9529655489910228,0.7945619335347432
EMGT00050000000018,Drosophila,AA,13,3,0.9862656333921583,0.9214501510574018
EMGT00050000000018,Drosophila,AA,13,23,0.926264098826057,0.7492447129909365
EMGT00050000000018,Drosophila,AA,13,21,0.9215836722166807,0.7371601208459214
EMGT00050000000018,Drosophila,AA,13,1,0.9518146244149467,0.7885196374622356
EMGT00050000000018,Drosophila,AA,13,38,0.9258037289956265,0.7492447129909365
EMGT00050000000018,Drosophila,AA,13,40,0.938080257807105,0.8036253776435045
EMGT00050000000018,Drosophila,AA,13,26,0.9409959333998312,0.7885196374622356
EMGT00050000000018,Drosophila,AA,13,6,0.9620194889894882,0.851963746223565
EMGT00050000000018,Drosophila,AA,13,47,0.9472876544157139,0.7794561933534743
EMGT00050000000018,Drosophila,AA,13,45,0.9924038977978976,0.9516616314199395
EMGT00050000000018,Drosophila,AA,13,4,0.946980741195427,0.7643504531722054
EMGT00050000000018,Drosophila,AA,13,19,0.9588736284815469,0.7673716012084593
EMGT00050000000018,Drosophila,AA,13,24,0.9500498733982966,0.824773413897281
EMGT00050000000018,Drosophila,AA,13,20,0.9891813089848845,0.9425981873111783
EMGT00050000000018,Drosophila,AA,13,41,0.9284892196731375,0.7462235649546828
EMGT00050000000018,Drosophila,AA,13,39,0.9580296171257577,0.8459214501510574
EMGT00050000000018,Drosophila,AA,13,43,0.9888743957645976,0.945619335347432
EMGT00050000000018,Drosophila,AA,13,22,0.9544233867873859,0.8398791540785498
EMGT00050000000018,Drosophila,AA,13,2,0.9512775262794445,0.7462235649546828
EMGT00050000000018,Drosophila,AA,37,35,0.9316960859554874,0.756838905775076
EMGT00050000000018,Drosophila,AA,37,11,0.9268610897927859,0.7537993920972644
EMGT00050000000018,Drosophila,AA,37,28,0.9263238679969301,0.7446808510638298
EMGT00050000000018,Drosophila,AA,37,8,0.9325402916346892,0.7598784194528876
EMGT00050000000018,Drosophila,AA,37,15,0.9399846508058327,0.7598784194528876
EMGT00050000000018,Drosophila,AA,37,50,0.9484267075978511,0.7629179331306991
EMGT00050000000018,Drosophila,AA,37,31,0.9266308518802763,0.756838905775076
EMGT00050000000018,Drosophila,AA,37,49,0.9511895625479663,0.7963525835866262
EMGT00050000000018,Drosophila,AA,37,33,0.9321565617805065,0.7629179331306991
EMGT00050000000018,Drosophila,AA,37,17,0.9550268610897927,0.8237082066869301
EMGT00050000000018,Drosophila,AA,37,34,0.9657712970069071,0.8571428571428571
EMGT00050000000018,Drosophila,AA,37,10,0.9315425940138142,0.7689969604863222
EMGT00050000000018,Drosophila,AA,37,12,0.936991557943208,0.7720364741641338
EMGT00050000000018,Drosophila,AA,37,36,0.9521872601688411,0.7872340425531915
EMGT00050000000018,Drosophila,AA,37,32,0.9268610897927859,0.7416413373860182
EMGT00050000000018,Drosophila,AA,37,16,0.9343054489639294,0.7446808510638298
EMGT00050000000018,Drosophila,AA,37,14,0.9557943207981581,0.8328267477203647
EMGT00050000000018,Drosophila,AA,37,9,0.9300076745970837,0.7507598784194529
EMGT00050000000018,Drosophila,AA,37,29,0.9283960092095165,0.7629179331306991
EMGT00050000000018,Drosophila,AA,37,48,0.9285495011511896,0.7416413373860182
EMGT00050000000018,Drosophila,AA,37,30,0.9485034535686876,0.8267477203647416
EMGT00050000000018,Drosophila,AA,37,44,0.9509593246354566,0.8237082066869301
EMGT00050000000018,Drosophila,AA,37,25,0.9316960859554874,0.7659574468085106
EMGT00050000000018,Drosophila,AA,37,18,0.9449731389102072,0.7689969604863222
EMGT00050000000018,Drosophila,AA,37,5,0.9494244052187261,0.7629179331306991
EMGT00050000000018,Drosophila,AA,37,7,0.9262471220260936,0.7537993920972644
EMGT00050000000018,Drosophila,AA,37,27,0.9536454336147352,0.8085106382978723
EMGT00050000000018,Drosophila,AA,37,46,0.9521105141980046,0.8297872340425532
EMGT00050000000018,Drosophila,AA,37,42,0.9409823484267076,0.7477203647416414
EMGT00050000000018,Drosophila,AA,37,3,0.9511128165771296,0.7933130699088146
EMGT00050000000018,Drosophila,AA,37,23,0.9326170376055257,0.7537993920972644
EMGT00050000000018,Drosophila,AA,37,21,0.930928626247122,0.7416413373860182
EMGT00050000000018,Drosophila,AA,37,1,0.944205679201842,0.7537993920972644
