name,ic_type,number_models,data_type,num_seq,min_seq_length,max_seq_length,mean_seq_length,stdev_seq_length,tree_length,mean_pairwise_distance
ENSGT00390000000018.Euteleostomi.003,AIC,1,aa,61,1051,1260,1144.803279,41.06735105,3.58694,0.441037945
ENSGT00390000000018.Euteleostomi.003,AICc,1,aa,61,1051,1260,1144.803279,41.06735105,3.58694,0.441037945
ENSGT00390000000018.Euteleostomi.003,BIC,2,aa,61,1051,1260,1144.803279,41.06735105,3.58694,0.441037945
ENSGT00390000000455.Euteleostomi.001,AIC,2,aa,50,732,922,857.26,67.72899479,5.79735,1.072642139
ENSGT00390000000455.Euteleostomi.001,AICc,2,aa,50,732,922,857.26,67.72899479,5.79735,1.072642139
ENSGT00390000000455.Euteleostomi.001,BIC,1,aa,50,732,922,857.26,67.72899479,5.79735,1.072642139
ENSGT00390000000724.Euteleostomi.001,AIC,1,aa,59,243,329,284,22.24859546,5.81523,0.65815059
ENSGT00390000000724.Euteleostomi.001,AICc,1,aa,59,243,329,284,22.24859546,5.81523,0.65815059
ENSGT00390000000724.Euteleostomi.001,BIC,2,aa,59,243,329,284,22.24859546,5.81523,0.65815059
ENSGT00390000000948.Euteleostomi.003,AIC,2,aa,62,287,383,322.2903226,23.70058248,4.14013,0.487029894
ENSGT00390000000948.Euteleostomi.003,AICc,2,aa,62,287,383,322.2903226,23.70058248,4.14013,0.487029894
ENSGT00390000000948.Euteleostomi.003,BIC,2,aa,62,287,383,322.2903226,23.70058248,4.14013,0.487029894
ENSGT00390000001014.Euteleostomi.001,AIC,1,aa,50,202,277,263.82,21.86292174,4.96365,0.497140188
ENSGT00390000001014.Euteleostomi.001,AICc,1,aa,50,202,277,263.82,21.86292174,4.96365,0.497140188
ENSGT00390000001014.Euteleostomi.001,BIC,2,aa,50,202,277,263.82,21.86292174,4.96365,0.497140188
ENSGT00390000001046.Euteleostomi.002,AIC,1,aa,56,413,463,425.6964286,12.60724127,12.74571,1.186185948
ENSGT00390000001046.Euteleostomi.002,AICc,1,aa,56,413,463,425.6964286,12.60724127,12.74571,1.186185948
ENSGT00390000001046.Euteleostomi.002,BIC,1,aa,56,413,463,425.6964286,12.60724127,12.74571,1.186185948
ENSGT00390000001046.Euteleostomi.005,AIC,1,aa,54,408,483,431.1296296,22.37168552,6.33376,0.597099106
ENSGT00390000001046.Euteleostomi.005,AICc,1,aa,54,408,483,431.1296296,22.37168552,6.33376,0.597099106
ENSGT00390000001046.Euteleostomi.005,BIC,1,aa,54,408,483,431.1296296,22.37168552,6.33376,0.597099106
ENSGT00390000001117.Euteleostomi.002,AIC,1,aa,52,397,466,425.9230769,20.37380686,6.21963,0.827723808
ENSGT00390000001117.Euteleostomi.002,AICc,1,aa,52,397,466,425.9230769,20.37380686,6.21963,0.827723808
ENSGT00390000001117.Euteleostomi.002,BIC,1,aa,52,397,466,425.9230769,20.37380686,6.21963,0.827723808
ENSGT00390000001132.Euteleostomi.001,AIC,1,aa,60,424,501,460.9333333,16.74521603,5.6034,0.641078345
ENSGT00390000001132.Euteleostomi.001,AICc,1,aa,60,424,501,460.9333333,16.74521603,5.6034,0.641078345
ENSGT00390000001132.Euteleostomi.001,BIC,1,aa,60,424,501,460.9333333,16.74521603,5.6034,0.641078345
ENSGT00390000001134.Euteleostomi.001,AIC,2,aa,61,419,767,575.7704918,109.1705689,4.02596,0.564751574
ENSGT00390000001134.Euteleostomi.001,AICc,4,aa,61,419,767,575.7704918,109.1705689,4.02596,0.564751574
ENSGT00390000001134.Euteleostomi.001,BIC,1,aa,61,419,767,575.7704918,109.1705689,4.02596,0.564751574
ENSGT00390000001390.Euteleostomi.001,AIC,1,aa,53,253,320,285.8867925,21.11293841,9.98429,1.053485457
ENSGT00390000001390.Euteleostomi.001,AICc,1,aa,53,253,320,285.8867925,21.11293841,9.98429,1.053485457
ENSGT00390000001390.Euteleostomi.001,BIC,1,aa,53,253,320,285.8867925,21.11293841,9.98429,1.053485457
ENSGT00390000001586.Euteleostomi.001,AIC,2,aa,60,330,415,372.4,16.58894874,3.13518,0.36177052
ENSGT00390000001586.Euteleostomi.001,AICc,3,aa,60,330,415,372.4,16.58894874,3.13518,0.36177052
ENSGT00390000001586.Euteleostomi.001,BIC,2,aa,60,330,415,372.4,16.58894874,3.13518,0.36177052
ENSGT00390000001619.Euteleostomi.003,AIC,2,aa,59,690,998,767.4576271,119.3679218,12.54701,0.933126768
ENSGT00390000001619.Euteleostomi.003,AICc,2,aa,59,690,998,767.4576271,119.3679218,12.54701,0.933126768
ENSGT00390000001619.Euteleostomi.003,BIC,2,aa,59,690,998,767.4576271,119.3679218,12.54701,0.933126768
ENSGT00390000001626.Euteleostomi.001,AIC,1,aa,57,247,293,258.7017544,7.794148245,2.50899,0.260013534
ENSGT00390000001626.Euteleostomi.001,AICc,2,aa,57,247,293,258.7017544,7.794148245,2.50899,0.260013534
ENSGT00390000001626.Euteleostomi.001,BIC,1,aa,57,247,293,258.7017544,7.794148245,2.50899,0.260013534
ENSGT00390000002143.Euteleostomi.001,AIC,1,aa,60,803,890,821.9166667,13.16298311,3.9044,0.521749644
ENSGT00390000002143.Euteleostomi.001,AICc,1,aa,60,803,890,821.9166667,13.16298311,3.9044,0.521749644
ENSGT00390000002143.Euteleostomi.001,BIC,1,aa,60,803,890,821.9166667,13.16298311,3.9044,0.521749644
ENSGT00390000002149.Euteleostomi.001,AIC,1,aa,59,672,899,744.220339,46.60067626,4.31127,0.500888568
ENSGT00390000002149.Euteleostomi.001,AICc,1,aa,59,672,899,744.220339,46.60067626,4.31127,0.500888568
ENSGT00390000002149.Euteleostomi.001,BIC,1,aa,59,672,899,744.220339,46.60067626,4.31127,0.500888568
ENSGT00390000002174.Euteleostomi.001,AIC,1,aa,57,383,482,425.6315789,23.1143366,11.70565,1.318898772
ENSGT00390000002174.Euteleostomi.001,AICc,1,aa,57,383,482,425.6315789,23.1143366,11.70565,1.318898772
ENSGT00390000002174.Euteleostomi.001,BIC,1,aa,57,383,482,425.6315789,23.1143366,11.70565,1.318898772
ENSGT00390000002740.Euteleostomi.001,AIC,1,aa,57,570,692,620.6140351,29.29453532,3.23686,0.500029887
ENSGT00390000002740.Euteleostomi.001,AICc,2,aa,57,570,692,620.6140351,29.29453532,3.23686,0.500029887
ENSGT00390000002740.Euteleostomi.001,BIC,4,aa,57,570,692,620.6140351,29.29453532,3.23686,0.500029887
ENSGT00390000002812.Euteleostomi.004,AIC,1,aa,57,781,851,822.5614035,14.36267179,2.72535,0.401179411
ENSGT00390000002812.Euteleostomi.004,AICc,1,aa,57,781,851,822.5614035,14.36267179,2.72535,0.401179411
ENSGT00390000002812.Euteleostomi.004,BIC,1,aa,57,781,851,822.5614035,14.36267179,2.72535,0.401179411
ENSGT00390000002997.Euteleostomi.001,AIC,1,aa,55,360,518,464.9454545,46.43371149,6.06155,0.920013589
ENSGT00390000002997.Euteleostomi.001,AICc,1,aa,55,360,518,464.9454545,46.43371149,6.06155,0.920013589
ENSGT00390000002997.Euteleostomi.001,BIC,1,aa,55,360,518,464.9454545,46.43371149,6.06155,0.920013589
ENSGT00390000003140.Euteleostomi.001,AIC,2,aa,52,1132,1362,1255.480769,67.64396134,2.98294,0.660924042
ENSGT00390000003140.Euteleostomi.001,AICc,2,aa,52,1132,1362,1255.480769,67.64396134,2.98294,0.660924042
ENSGT00390000003140.Euteleostomi.001,BIC,1,aa,52,1132,1362,1255.480769,67.64396134,2.98294,0.660924042
ENSGT00390000003453.Euteleostomi.001,AIC,1,aa,55,1080,1256,1124.254545,33.06963371,5.21825,0.75065266
ENSGT00390000003453.Euteleostomi.001,AICc,1,aa,55,1080,1256,1124.254545,33.06963371,5.21825,0.75065266
ENSGT00390000003453.Euteleostomi.001,BIC,2,aa,55,1080,1256,1124.254545,33.06963371,5.21825,0.75065266
ENSGT00390000003721.Euteleostomi.001,AIC,1,aa,50,451,484,475.84,6.876045375,0.59504,0.055970286
ENSGT00390000003721.Euteleostomi.001,AICc,1,aa,50,451,484,475.84,6.876045375,0.59504,0.055970286
ENSGT00390000003721.Euteleostomi.001,BIC,4,aa,50,451,484,475.84,6.876045375,0.59504,0.055970286
ENSGT00390000003774.Euteleostomi.001,AIC,1,aa,53,429,477,458.4339623,11.22927053,10.97831,1.054355849
ENSGT00390000003774.Euteleostomi.001,AICc,1,aa,53,429,477,458.4339623,11.22927053,10.97831,1.054355849
ENSGT00390000003774.Euteleostomi.001,BIC,1,aa,53,429,477,458.4339623,11.22927053,10.97831,1.054355849
ENSGT00390000003950.Euteleostomi.002,AIC,2,aa,55,723,766,740.7272727,7.299047491,4.38496,0.629884054
ENSGT00390000003950.Euteleostomi.002,AICc,1,aa,55,723,766,740.7272727,7.299047491,4.38496,0.629884054
ENSGT00390000003950.Euteleostomi.002,BIC,1,aa,55,723,766,740.7272727,7.299047491,4.38496,0.629884054
ENSGT00390000004311.Euteleostomi.001,AIC,1,aa,54,1123,1211,1161.462963,29.70910093,2.46198,0.553837226
ENSGT00390000004311.Euteleostomi.001,AICc,1,aa,54,1123,1211,1161.462963,29.70910093,2.46198,0.553837226
ENSGT00390000004311.Euteleostomi.001,BIC,1,aa,54,1123,1211,1161.462963,29.70910093,2.46198,0.553837226
ENSGT00390000004417.Euteleostomi.001,AIC,2,aa,62,423,572,495.9354839,29.34189137,8.99664,1.169222924
ENSGT00390000004417.Euteleostomi.001,AICc,1,aa,62,423,572,495.9354839,29.34189137,8.99664,1.169222924
ENSGT00390000004417.Euteleostomi.001,BIC,1,aa,62,423,572,495.9354839,29.34189137,8.99664,1.169222924
ENSGT00390000004600.Euteleostomi.001,AIC,1,aa,58,1460,1558,1524.275862,24.1099769,5.91589,0.720186588
ENSGT00390000004600.Euteleostomi.001,AICc,1,aa,58,1460,1558,1524.275862,24.1099769,5.91589,0.720186588
ENSGT00390000004600.Euteleostomi.001,BIC,1,aa,58,1460,1558,1524.275862,24.1099769,5.91589,0.720186588
ENSGT00390000004874.Euteleostomi.001,AIC,1,aa,58,385,622,512.5517241,71.61328222,8.72072,1.195917907
ENSGT00390000004874.Euteleostomi.001,AICc,1,aa,58,385,622,512.5517241,71.61328222,8.72072,1.195917907
