fullid,mean_guidance_score,median_guidance_score,sd_guidance_score
EMGT00050000003874.Drosophila.001_NT,0.24556078716794918,0.0,0.41057531395109936
EMGT00050000000718.Drosophila.001_NT,0.2667518533913341,0.0,0.37692413027884325
EMGT00050000008675.Drosophila.001_NT,0.8531002856477186,1.0,0.33379270543963013
EMGT00050000001033.Drosophila.001_NT,0.39292425237704365,0.0,0.4521526229612029
EMGT00050000002722.Drosophila.001_NT,0.6349575376965839,0.8571428571428571,0.4237094961250724
EMGT00050000002475.Drosophila.001_NT,0.7281638066634561,1.0,0.4174046138719823
EMGT00050000001364.Drosophila.001_NT,0.579494689675725,0.7346938775510204,0.42102507755171936
EMGT00050000000401.Drosophila.001_NT,0.43892778720943454,0.07783373089495538,0.4700099855620553
EMGT00050000002295.Drosophila.001_NT,0.7389503996504472,1.0,0.3942412422603733
EMGT00050000000052.Drosophila.001_NT,0.4307772119815727,0.49293563579277866,0.35825910893723284
EMGT00050000002371.Drosophila.001_NT,0.7947100686607264,1.0,0.36937975077673585
EMGT00050000001460.Drosophila.001_NT,0.8010942885096667,1.0,0.3768022230143874
EMGT00050000000807.Drosophila.001_NT,0.9006219756481237,1.0,0.2685623266723443
EMGT00050000003725.Drosophila.001_NT,0.6036261895108571,0.8956916099773242,0.4386397545267768
EMGT00050000000363.Drosophila.001_NT,0.8355526595111878,1.0,0.3507329105390847
EMGT00050000001406.Drosophila.001_NT,0.5090615334676625,0.7482993197278912,0.4792346388764947
EMGT00050000001448.Drosophila.001_NT,0.7634898281415584,1.0,0.4034312667497692
EMGT00050000002359.Drosophila.001_NT,0.8697557309435032,1.0,0.3134813258700879
EMGT00050000004155.Drosophila.001_NT,0.5807494215414843,0.8063492063492064,0.43521142664866774
EMGT00050000000583.Drosophila.001_NT,0.5757043560200235,0.8775510204081632,0.46088825496993185
EMGT00050000002090.Drosophila.001_NT,0.7666391811333986,1.0,0.3725292776298016
EMGT00050000004966.Drosophila.001_NT,0.8583229059202716,1.0,0.31377832983815584
EMGT00050000001055.Drosophila.001_NT,0.2745630793179084,0.0,0.4388893402332439
EMGT00050000001665.Drosophila.001_NT,0.7508719746801388,1.0,0.38249593100910645
EMGT00050000001498.Drosophila.001_NT,0.47028890559699044,0.3673469387755102,0.4736672558177264
EMGT00050000002389.Drosophila.001_NT,0.4080498537859005,0.08673469387755102,0.4493178279124595
