name,datatype,AIC,AICc,BIC
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+I+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+F+I+G4,JTT+I+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+F+I+G4,JTT+I+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+F+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+I+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+I+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+I+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+F+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+I+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+F+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+F+I+G4,JTT+I+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+F+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+F+I+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTTDCMut+I+G4,JTTDCMut+G4,JTTDCMut+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTT+G4,JTT+G4
ENSGT00390000003183.Euteleostomi.001,AA,JTT+I+G4,JTTDCMut+G4,JTTDCMut+G4
