dataset,species,datatype,ref_num,est_num,sp,tc
ENSGT00390000005147,Euteleostomi,AA,13,50,0.9790906479968737,0.7592190889370932
ENSGT00390000005147,Euteleostomi,AA,2,50,0.9787900778466816,0.7635574837310195
ENSGT00390000005147,Euteleostomi,AA,11,50,0.9675123893430472,0.7650862068965517
ENSGT00390000005147,Euteleostomi,AA,35,50,0.9825486001739498,0.782608695652174
ENSGT00390000005147,Euteleostomi,AA,49,50,0.9708599423034387,0.7342047930283224
ENSGT00390000005147,Euteleostomi,AA,31,50,0.9782656887484376,0.7516059957173448
ENSGT00390000005147,Euteleostomi,AA,15,50,0.980944630769882,0.7869565217391304
ENSGT00390000005147,Euteleostomi,AA,6,50,0.9786850102475912,0.7813852813852814
ENSGT00390000005147,Euteleostomi,AA,28,50,0.9764062853693504,0.7569892473118279
ENSGT00390000005147,Euteleostomi,AA,17,50,0.9784415191977186,0.789587852494577
ENSGT00390000005147,Euteleostomi,AA,4,50,0.9856069763832119,0.8308026030368764
ENSGT00390000005147,Euteleostomi,AA,33,50,0.976611158152225,0.7451403887688985
ENSGT00390000005147,Euteleostomi,AA,10,50,0.9721205826113642,0.7473002159827213
ENSGT00390000005147,Euteleostomi,AA,3,50,0.971384293627765,0.7456521739130435
ENSGT00390000005147,Euteleostomi,AA,34,50,0.9812463758550625,0.7613882863340564
ENSGT00390000005147,Euteleostomi,AA,36,50,0.9767380410882633,0.7249466950959488
ENSGT00390000005147,Euteleostomi,AA,12,50,0.9806041695143737,0.7467532467532467
ENSGT00390000005147,Euteleostomi,AA,1,50,0.971725910306134,0.7359307359307359
ENSGT00390000005147,Euteleostomi,AA,5,50,0.973305605444749,0.7521551724137931
ENSGT00390000005147,Euteleostomi,AA,16,50,0.9751236247486099,0.7452631578947368
ENSGT00390000005147,Euteleostomi,AA,32,50,0.9773034226043417,0.7722342733188721
ENSGT00390000005147,Euteleostomi,AA,30,50,0.98051029644716,0.7758620689655172
ENSGT00390000005147,Euteleostomi,AA,48,50,0.9783733468155379,0.7569892473118279
ENSGT00390000005147,Euteleostomi,AA,29,50,0.9721480045910399,0.7650862068965517
ENSGT00390000005147,Euteleostomi,AA,7,50,0.9770298918303848,0.7537473233404711
ENSGT00390000005147,Euteleostomi,AA,14,50,0.9713971293666172,0.7380952380952381
ENSGT00390000005147,Euteleostomi,AA,18,50,0.9759360177853977,0.7537796976241901
ENSGT00390000005147,Euteleostomi,AA,25,50,0.9779550159984942,0.7705627705627706
ENSGT00390000005147,Euteleostomi,AA,44,50,0.9771675525028599,0.7440347071583514
ENSGT00390000005147,Euteleostomi,AA,46,50,0.9807812028373076,0.771551724137931
