dataset,species,datatype,ref_num,est_num,sp,tc
ENSGT00390000005029,Euteleostomi,AA,17,50,0.9906161430919094,0.9300699300699301
ENSGT00390000005029,Euteleostomi,AA,33,50,0.9921254587921254,0.9087779690189329
ENSGT00390000005029,Euteleostomi,AA,49,50,0.9930836256863942,0.9214659685863874
ENSGT00390000005029,Euteleostomi,AA,31,50,0.9913953698895119,0.9173838209982789
ENSGT00390000005029,Euteleostomi,AA,15,50,0.9929165971046292,0.9120689655172414
ENSGT00390000005029,Euteleostomi,AA,28,50,0.993891631248928,0.9267015706806283
ENSGT00390000005029,Euteleostomi,AA,3,50,0.9906541164802258,0.912739965095986
ENSGT00390000005029,Euteleostomi,AA,11,50,0.9923233902960025,0.9172413793103448
ENSGT00390000005029,Euteleostomi,AA,7,50,0.9928622106671618,0.9350877192982456
ENSGT00390000005029,Euteleostomi,AA,35,50,0.9947056635091435,0.9233449477351916
ENSGT00390000005029,Euteleostomi,AA,37,50,0.9944600320659642,0.9125214408233276
ENSGT00390000005029,Euteleostomi,AA,5,50,0.990322979476157,0.9299474605954466
ENSGT00390000005029,Euteleostomi,AA,13,50,0.9929750765444817,0.9156626506024096
ENSGT00390000005029,Euteleostomi,AA,30,50,0.9941245705408921,0.9284467713787086
ENSGT00390000005029,Euteleostomi,AA,48,50,0.9934428259182186,0.9492119089316988
ENSGT00390000005029,Euteleostomi,AA,29,50,0.9953454399633364,0.9210977701543739
ENSGT00390000005029,Euteleostomi,AA,2,50,0.9922515670586891,0.9333333333333333
ENSGT00390000005029,Euteleostomi,AA,14,50,0.9972496359812328,0.965034965034965
ENSGT00390000005029,Euteleostomi,AA,16,50,0.9958648714389962,0.9242685025817556
ENSGT00390000005029,Euteleostomi,AA,32,50,0.9957653328258077,0.9702797202797203
ENSGT00390000005029,Euteleostomi,AA,36,50,0.9945892184109338,0.9370629370629371
ENSGT00390000005029,Euteleostomi,AA,12,50,0.9945198815264205,0.9250871080139372
ENSGT00390000005029,Euteleostomi,AA,4,50,0.9891294484007012,0.8984509466437177
ENSGT00390000005029,Euteleostomi,AA,6,50,0.9933832018242709,0.9224137931034483
ENSGT00390000005029,Euteleostomi,AA,10,50,0.9922892163403801,0.9157894736842105
ENSGT00390000005029,Euteleostomi,AA,34,50,0.9934856684706354,0.9092495636998255
ENSGT00390000005029,Euteleostomi,AA,40,50,0.9928737250723093,0.9370629370629371
ENSGT00390000005029,Euteleostomi,AA,38,50,0.9961052164325501,0.9125874125874126
ENSGT00390000005029,Euteleostomi,AA,21,50,0.9910903812288802,0.9197207678883071
ENSGT00390000005029,Euteleostomi,AA,23,50,0.9935691165043452,0.9350877192982456
ENSGT00390000005029,Euteleostomi,AA,8,50,0.9913326627032748,0.915807560137457
ENSGT00390000005029,Euteleostomi,AA,42,50,0.9928319001902909,0.925476603119584
ENSGT00390000005029,Euteleostomi,AA,46,50,0.9946763212856755,0.9508771929824561
ENSGT00390000005029,Euteleostomi,AA,27,50,0.9957987391459499,0.9649737302977233
ENSGT00390000005029,Euteleostomi,AA,18,50,0.9940808380237053,0.9440559440559441
ENSGT00390000005029,Euteleostomi,AA,25,50,0.9945339292272617,0.9071803852889667
ENSGT00390000005029,Euteleostomi,AA,44,50,0.9924581271412257,0.9350877192982456
ENSGT00390000005029,Euteleostomi,AA,22,50,0.9942437966204902,0.9440559440559441
ENSGT00390000005029,Euteleostomi,AA,9,50,0.9916805799335017,0.9333333333333333
ENSGT00390000005029,Euteleostomi,AA,43,50,0.995011424219345,0.9543859649122807
ENSGT00390000005029,Euteleostomi,AA,39,50,0.992313440294707,0.9350877192982456
ENSGT00390000005029,Euteleostomi,AA,41,50,0.9910094148492432,0.8989547038327527
ENSGT00390000005029,Euteleostomi,AA,20,50,0.9963320995994329,0.957968476357268
ENSGT00390000005029,Euteleostomi,AA,24,50,0.9859039212033495,0.9039451114922813
ENSGT00390000005029,Euteleostomi,AA,19,50,0.9916995237119005,0.9038461538461539
ENSGT00390000005029,Euteleostomi,AA,45,50,0.9909525735906527,0.9214659685863874
ENSGT00390000005029,Euteleostomi,AA,47,50,0.9924184736050563,0.9248251748251748
ENSGT00390000005029,Euteleostomi,AA,26,50,0.9976453463481463,0.9718804920913884
