name,datatype,AIC,AICc,BIC
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
ENSGT00390000002428.Euteleostomi.001,NT,GTR+F+G4,GTR+F+G4,GTR+F+G4
