name,ic_type,number_models,data_type,num_seq,min_seq_length,max_seq_length,mean_seq_length,stdev_seq_length,tree_length,mean_pairwise_distance
ENSGT00390000000018.Euteleostomi.003.nt,AIC,2,nt,61,3153,3780,3434.409836065574,123.20205315512946,5.538080000000002,0.6643618797814204
ENSGT00390000000018.Euteleostomi.003.nt,AICc,2,nt,61,3153,3780,3434.409836065574,123.20205315512946,5.538080000000002,0.6643618797814204
ENSGT00390000000018.Euteleostomi.003.nt,BIC,1,nt,61,3153,3780,3434.409836065574,123.20205315512946,5.538080000000002,0.6643618797814204
ENSGT00390000000455.Euteleostomi.001.nt,AIC,1,nt,50,2196,2766,2571.78,203.18698435737684,5.607340000000002,0.9237478530612248
ENSGT00390000000455.Euteleostomi.001.nt,AICc,1,nt,50,2196,2766,2571.78,203.18698435737684,5.607340000000002,0.9237478530612248
ENSGT00390000000455.Euteleostomi.001.nt,BIC,1,nt,50,2196,2766,2571.78,203.18698435737684,5.607340000000002,0.9237478530612248
ENSGT00390000000724.Euteleostomi.001.nt,AIC,1,nt,59,729,987,852,66.74578638386096,7.04282,0.6785399181765066
ENSGT00390000000724.Euteleostomi.001.nt,AICc,2,nt,59,729,987,852,66.74578638386096,7.04282,0.6785399181765066
ENSGT00390000000724.Euteleostomi.001.nt,BIC,2,nt,59,729,987,852,66.74578638386096,7.04282,0.6785399181765066
ENSGT00390000000948.Euteleostomi.003.nt,AIC,1,nt,62,861,1149,966.8709677419355,71.10174742981155,6.593429999999999,0.6075890216816487
ENSGT00390000000948.Euteleostomi.003.nt,AICc,2,nt,62,861,1149,966.8709677419355,71.10174742981155,6.593429999999999,0.6075890216816487
ENSGT00390000000948.Euteleostomi.003.nt,BIC,2,nt,62,861,1149,966.8709677419355,71.10174742981155,6.593429999999999,0.6075890216816487
ENSGT00390000001014.Euteleostomi.001.nt,AIC,4,nt,50,606,831,791.46,65.58876521515693,6.022240000000002,0.5835095346938773
ENSGT00390000001014.Euteleostomi.001.nt,AICc,4,nt,50,606,831,791.46,65.58876521515693,6.022240000000002,0.5835095346938773
ENSGT00390000001014.Euteleostomi.001.nt,BIC,4,nt,50,606,831,791.46,65.58876521515693,6.022240000000002,0.5835095346938773
ENSGT00390000001046.Euteleostomi.002.nt,AIC,1,nt,56,1239,1389,1277.0892857142858,37.82172381327684,9.253670000000001,0.8835757662337679
ENSGT00390000001046.Euteleostomi.002.nt,AICc,1,nt,56,1239,1389,1277.0892857142858,37.82172381327684,9.253670000000001,0.8835757662337679
ENSGT00390000001046.Euteleostomi.002.nt,BIC,1,nt,56,1239,1389,1277.0892857142858,37.82172381327684,9.253670000000001,0.8835757662337679
ENSGT00390000001046.Euteleostomi.005.nt,AIC,2,nt,54,1224,1449,1293.388888888889,67.11505656415751,4.556780000000001,0.41417088749126413
ENSGT00390000001046.Euteleostomi.005.nt,AICc,2,nt,54,1224,1449,1293.388888888889,67.11505656415751,4.556780000000001,0.41417088749126413
ENSGT00390000001046.Euteleostomi.005.nt,BIC,1,nt,54,1224,1449,1293.388888888889,67.11505656415751,4.556780000000001,0.41417088749126413
ENSGT00390000001117.Euteleostomi.002.nt,AIC,2,nt,52,1191,1398,1277.7692307692307,61.121420584756066,7.654300000000003,0.8492113876319768
ENSGT00390000001117.Euteleostomi.002.nt,AICc,2,nt,52,1191,1398,1277.7692307692307,61.121420584756066,7.654300000000003,0.8492113876319768
ENSGT00390000001117.Euteleostomi.002.nt,BIC,1,nt,52,1191,1398,1277.7692307692307,61.121420584756066,7.654300000000003,0.8492113876319768
ENSGT00390000001132.Euteleostomi.001.nt,AIC,2,nt,60,1272,1503,1382.8,50.23564808960914,5.714999999999998,0.6053947627118638
ENSGT00390000001132.Euteleostomi.001.nt,AICc,2,nt,60,1272,1503,1382.8,50.23564808960914,5.714999999999998,0.6053947627118638
ENSGT00390000001132.Euteleostomi.001.nt,BIC,1,nt,60,1272,1503,1382.8,50.23564808960914,5.714999999999998,0.6053947627118638
ENSGT00390000001134.Euteleostomi.001.nt,AIC,1,nt,61,1257,2301,1727.311475409836,327.51170671105314,5.232400000000003,0.6739413879781421
ENSGT00390000001134.Euteleostomi.001.nt,AICc,1,nt,61,1257,2301,1727.311475409836,327.51170671105314,5.232400000000003,0.6739413879781421
ENSGT00390000001134.Euteleostomi.001.nt,BIC,1,nt,61,1257,2301,1727.311475409836,327.51170671105314,5.232400000000003,0.6739413879781421
ENSGT00390000001390.Euteleostomi.001.nt,AIC,1,nt,53,759,960,857.6603773584906,63.33881523394227,9.756659999999993,0.8940473584905666
ENSGT00390000001390.Euteleostomi.001.nt,AICc,1,nt,53,759,960,857.6603773584906,63.33881523394227,9.756659999999993,0.8940473584905666
ENSGT00390000001390.Euteleostomi.001.nt,BIC,1,nt,53,759,960,857.6603773584906,63.33881523394227,9.756659999999993,0.8940473584905666
ENSGT00390000001586.Euteleostomi.001.nt,AIC,2,nt,60,990,1245,1117.2,49.76684622367432,4.890689999999998,0.5449921186440688
ENSGT00390000001586.Euteleostomi.001.nt,AICc,3,nt,60,990,1245,1117.2,49.76684622367432,4.890689999999998,0.5449921186440688
ENSGT00390000001586.Euteleostomi.001.nt,BIC,2,nt,60,990,1245,1117.2,49.76684622367432,4.890689999999998,0.5449921186440688
ENSGT00390000001619.Euteleostomi.003.nt,AIC,1,nt,59,2070,2994,2302.3728813559323,358.10376546206044,8.753070000000003,0.6383813676212737
ENSGT00390000001619.Euteleostomi.003.nt,AICc,1,nt,59,2070,2994,2302.3728813559323,358.10376546206044,8.753070000000003,0.6383813676212737
ENSGT00390000001619.Euteleostomi.003.nt,BIC,1,nt,59,2070,2994,2302.3728813559323,358.10376546206044,8.753070000000003,0.6383813676212737
ENSGT00390000001626.Euteleostomi.001.nt,AIC,1,nt,57,741,879,776.1052631578947,23.382444735410182,4.236849999999998,0.3871486215538844
ENSGT00390000001626.Euteleostomi.001.nt,AICc,1,nt,57,741,879,776.1052631578947,23.382444735410182,4.236849999999998,0.3871486215538844
ENSGT00390000001626.Euteleostomi.001.nt,BIC,1,nt,57,741,879,776.1052631578947,23.382444735410182,4.236849999999998,0.3871486215538844
ENSGT00390000002143.Euteleostomi.001.nt,AIC,1,nt,60,2409,2670,2465.75,39.488949323121624,6.194530000000001,0.6858559209039545
ENSGT00390000002143.Euteleostomi.001.nt,AICc,1,nt,60,2409,2670,2465.75,39.488949323121624,6.194530000000001,0.6858559209039545
ENSGT00390000002143.Euteleostomi.001.nt,BIC,1,nt,60,2409,2670,2465.75,39.488949323121624,6.194530000000001,0.6858559209039545
ENSGT00390000002149.Euteleostomi.001.nt,AIC,1,nt,59,2016,2697,2232.6610169491523,139.8020287664805,5.814240000000001,0.6828223495032149
ENSGT00390000002149.Euteleostomi.001.nt,AICc,1,nt,59,2016,2697,2232.6610169491523,139.8020287664805,5.814240000000001,0.6828223495032149
ENSGT00390000002149.Euteleostomi.001.nt,BIC,1,nt,59,2016,2697,2232.6610169491523,139.8020287664805,5.814240000000001,0.6828223495032149
ENSGT00390000002174.Euteleostomi.001.nt,AIC,1,nt,57,1149,1446,1276.8947368421052,69.34300979564412,8.653760000000005,1.0086673433583966
ENSGT00390000002174.Euteleostomi.001.nt,AICc,1,nt,57,1149,1446,1276.8947368421052,69.34300979564412,8.653760000000005,1.0086673433583966
ENSGT00390000002174.Euteleostomi.001.nt,BIC,2,nt,57,1149,1446,1276.8947368421052,69.34300979564412,8.653760000000005,1.0086673433583966
ENSGT00390000002740.Euteleostomi.001.nt,AIC,3,nt,57,1710,2076,1861.842105263158,87.88360595406131,4.875129999999998,0.6625322556390976
ENSGT00390000002740.Euteleostomi.001.nt,AICc,3,nt,57,1710,2076,1861.842105263158,87.88360595406131,4.875129999999998,0.6625322556390976
ENSGT00390000002740.Euteleostomi.001.nt,BIC,3,nt,57,1710,2076,1861.842105263158,87.88360595406131,4.875129999999998,0.6625322556390976
ENSGT00390000002812.Euteleostomi.004.nt,AIC,1,nt,57,2343,2553,2467.684210526316,43.088015360064716,5.30702,0.6428797994987461
ENSGT00390000002812.Euteleostomi.004.nt,AICc,1,nt,57,2343,2553,2467.684210526316,43.088015360064716,5.30702,0.6428797994987461
ENSGT00390000002812.Euteleostomi.004.nt,BIC,1,nt,57,2343,2553,2467.684210526316,43.088015360064716,5.30702,0.6428797994987461
ENSGT00390000002997.Euteleostomi.001.nt,AIC,1,nt,55,1080,1554,1394.8363636363636,139.3011344555602,7.2378,0.8826460471380484
ENSGT00390000002997.Euteleostomi.001.nt,AICc,1,nt,55,1080,1554,1394.8363636363636,139.3011344555602,7.2378,0.8826460471380484
ENSGT00390000002997.Euteleostomi.001.nt,BIC,1,nt,55,1080,1554,1394.8363636363636,139.3011344555602,7.2378,0.8826460471380484
ENSGT00390000003140.Euteleostomi.001.nt,AIC,1,nt,52,3396,4086,3766.4423076923076,202.93188400917023,4.862080000000001,0.6921739366515836
ENSGT00390000003140.Euteleostomi.001.nt,AICc,1,nt,52,3396,4086,3766.4423076923076,202.93188400917023,4.862080000000001,0.6921739366515836
ENSGT00390000003140.Euteleostomi.001.nt,BIC,1,nt,52,3396,4086,3766.4423076923076,202.93188400917023,4.862080000000001,0.6921739366515836
ENSGT00390000003453.Euteleostomi.001.nt,AIC,2,nt,55,3240,3768,3372.7636363636366,99.20890111580745,6.29313,0.8726612525252552
ENSGT00390000003453.Euteleostomi.001.nt,AICc,2,nt,55,3240,3768,3372.7636363636366,99.20890111580745,6.29313,0.8726612525252552
ENSGT00390000003453.Euteleostomi.001.nt,BIC,1,nt,55,3240,3768,3372.7636363636366,99.20890111580745,6.29313,0.8726612525252552
ENSGT00390000003721.Euteleostomi.001.nt,AIC,2,nt,50,1353,1452,1427.52,20.6281361252053,3.8612599999999997,0.36295459591836676
ENSGT00390000003721.Euteleostomi.001.nt,AICc,3,nt,50,1353,1452,1427.52,20.6281361252053,3.8612599999999997,0.36295459591836676
ENSGT00390000003721.Euteleostomi.001.nt,BIC,3,nt,50,1353,1452,1427.52,20.6281361252053,3.8612599999999997,0.36295459591836676
ENSGT00390000003774.Euteleostomi.001.nt,AIC,1,nt,53,1287,1431,1375.301886792453,33.6878115973375,10.018690000000003,0.8646564005805509
