dataset,species,datatype,ref_num,est_num,sp,tc
EMGT00050000008242,Drosophila,AA,42,50,0.9589203971226443,0.8355408388520972
EMGT00050000008242,Drosophila,AA,23,50,0.9707409715421823,0.8527131782945736
EMGT00050000008242,Drosophila,AA,21,50,0.9710265392151042,0.8648947951273532
EMGT00050000008242,Drosophila,AA,40,50,0.976504093983624,0.8704318936877077
EMGT00050000008242,Drosophila,AA,38,50,0.9752335755598398,0.8859357696566998
EMGT00050000008242,Drosophila,AA,44,50,0.9782885578033826,0.8939226519337017
EMGT00050000008242,Drosophila,AA,18,50,0.9801285278526372,0.9160220994475138
EMGT00050000008242,Drosophila,AA,25,50,0.9801610801847684,0.8947951273532669
EMGT00050000008242,Drosophila,AA,27,50,0.9816152525312334,0.9138121546961326
EMGT00050000008242,Drosophila,AA,46,50,0.9691359853084921,0.8772123893805309
EMGT00050000008242,Drosophila,AA,20,50,0.969038227705448,0.8707182320441988
EMGT00050000008242,Drosophila,AA,39,50,0.9712044218596773,0.9010989010989011
EMGT00050000008242,Drosophila,AA,41,50,0.9643566705216025,0.8504983388704319
EMGT00050000008242,Drosophila,AA,43,50,0.975417604549224,0.9006622516556292
EMGT00050000008242,Drosophila,AA,8,50,0.9671936289076429,0.8520971302428256
EMGT00050000008242,Drosophila,AA,22,50,0.9813028639263985,0.9250275633958104
EMGT00050000008242,Drosophila,AA,26,50,0.9664177994586395,0.8728070175438597
EMGT00050000008242,Drosophila,AA,47,50,0.9744882824087808,0.8886438809261301
EMGT00050000008242,Drosophila,AA,45,50,0.9750994242298332,0.8803986710963455
EMGT00050000008242,Drosophila,AA,24,50,0.9656963114632482,0.8667400881057269
EMGT00050000008242,Drosophila,AA,19,50,0.962803154292516,0.8535242290748899
EMGT00050000008242,Drosophila,AA,15,50,0.9573379347276352,0.8377192982456141
EMGT00050000008242,Drosophila,AA,28,50,0.968084157974503,0.889010989010989
EMGT00050000008242,Drosophila,AA,49,50,0.9776159175697282,0.9049723756906077
EMGT00050000008242,Drosophila,AA,2,50,0.9781592187037585,0.9058693244739756
EMGT00050000008242,Drosophila,AA,31,50,0.9696125226053185,0.8773480662983425
EMGT00050000008242,Drosophila,AA,33,50,0.9668214009403083,0.882803943044907
EMGT00050000008242,Drosophila,AA,17,50,0.9722139584696853,0.8948521358159912
EMGT00050000008242,Drosophila,AA,13,50,0.9734247876952313,0.8626799557032115
EMGT00050000008242,Drosophila,AA,4,50,0.9520307289185327,0.8140814081408141
EMGT00050000008242,Drosophila,AA,37,50,0.9696045933467503,0.8870431893687708
EMGT00050000008242,Drosophila,AA,35,50,0.9612391544172456,0.8351648351648352
EMGT00050000008242,Drosophila,AA,6,50,0.9535692006060066,0.8165745856353591
EMGT00050000008242,Drosophila,AA,11,50,0.9730500668548507,0.8729281767955801
EMGT00050000008242,Drosophila,AA,32,50,0.9748840803709428,0.8639380530973452
EMGT00050000008242,Drosophila,AA,1,50,0.975943382199887,0.8917127071823204
EMGT00050000008242,Drosophila,AA,16,50,0.9694916257323786,0.8837209302325582
EMGT00050000008242,Drosophila,AA,29,50,0.948360997084895,0.8101545253863135
EMGT00050000008242,Drosophila,AA,14,50,0.9807989078822412,0.9239250275633958
EMGT00050000008242,Drosophila,AA,3,50,0.972290622125968,0.8637873754152824
EMGT00050000008242,Drosophila,AA,30,50,0.9737239236573457,0.8947951273532669
EMGT00050000008242,Drosophila,AA,48,50,0.9698147928291583,0.8617256637168141
EMGT00050000008242,Drosophila,AA,34,50,0.9672470978441128,0.875
EMGT00050000008242,Drosophila,AA,7,50,0.9635166929743575,0.8491189427312775
EMGT00050000008242,Drosophila,AA,10,50,0.96995759067588,0.8952590959206174
EMGT00050000008242,Drosophila,AA,12,50,0.968304514746585,0.8784227820372399
EMGT00050000008242,Drosophila,AA,5,50,0.9636833353129826,0.838495575221239
EMGT00050000008242,Drosophila,AA,36,50,0.9781566329248801,0.9116022099447514
